customer_id,age,gender,city,monthly_fee,usage_hours,login_count,support_calls,contract_months,churn
C001,,M,대구,40000,35.3,29,0,1,0
C002,58,M,서울,80000,9.3,12,0,3,1
C003,30,F,부산,35000,36.4,29,3,6,0
C004,54,M,울산,55000,39.0,23,2,24,0
C005,34,F,울산,40000,39.8,12,0,3,0
C006,24,M,서울,40000,38.6,21,3,24,0
C007,22,F,서울,30000,39.0,34,3,12,0
C008,35,F,대구,55000,24.7,23,1,3,0
C009,27,M,서울,85000,,9,0,12,0
C010,27,F,대구,50000,42.7,23,3,12,1
C011,31,M,울산,45000,,11,2,3,0
C012,40,F,부산,50000,43.0,27,0,6,0
C013,51,M,울산,65000,32.6,14,0,6,0
C014,32,F,서울,75000,,13,0,24,0
C015,55,M,서울,25000,47.3,22,2,6,1
C016,28,F,부산,60000,57.8,19,1,1,0
C017,23,M,부산,80000,19.3,29,2,12,1
C018,24,F,대구,65000,39.8,26,3,24,0
C019,30,F,서울,40000,49.1,6,2,12,0
C020,55,F,부산,45000,32.7,18,2,24,1
C021,53,M,부산,65000,38.7,20,0,3,0
C022,22,M,서울,70000,21.9,12,1,6,1
C023,39,F,부산,85000,33.5,17,0,1,1
C024,24,M,서울,35000,,9,3,6,1
C025,55,F,울산,30000,38.0,16,2,24,0
C026,36,F,부산,25000,35.8,24,3,6,1
C027,30,F,서울,55000,26.6,16,4,3,1
C028,28,M,부산,85000,25.8,19,2,6,1
C029,46,M,울산,40000,53.6,3,3,1,1
C030,35,F,부산,80000,9.0,29,4,12,1
C031,34,M,부산,40000,24.2,21,5,6,1
C032,21,M,울산,45000,40.7,25,6,6,1
C033,47,M,서울,70000,33.3,19,0,24,0
C034,47,M,울산,50000,37.7,10,0,1,0
C035,45,F,서울,40000,7.0,25,0,24,0
C036,33,F,대구,70000,8.7,13,0,12,0
C037,30,M,,75000,24.7,13,3,6,1
C038,50,M,서울,75000,,8,0,12,1
C039,26,F,부산,85000,46.0,15,3,1,1
C040,58,F,울산,60000,34.8,9,0,24,0
C041,50,F,부산,40000,37.2,13,2,3,1
C042,40,M,부산,40000,18.4,15,2,3,1
C043,33,F,서울,85000,16.0,12,4,12,1
C044,46,M,서울,45000,16.0,16,2,6,0
