customer_id,gender,age,city,signup_date,plan_type,payment_method,monthly_usage_hours,support_calls,monthly_fee,satisfaction_score,churn
C0001,F,42,Busan,2025-07-12,Standard,Bank,43.4,3,34.8,1,1
C0002,F,31,Seoul,2024-01-07,Standard,Card,25.3,2,33.6,3,0
C0003,F,38,Incheon,2025-04-15,Standard,Mobile,44.7,0,27.8,3,0
C0004,M,21,Busan,2024-03-22,Basic,Card,20.0,4,15.0,3,1
C0005,M,36,Incheon,2024-06-24,Standard,Bank,50.4,0,33.0,3,0
C0006,F,27,Daegu,2024-11-19,Basic,Card,8.6,1,19.5,5,1
C0007,M,19,Seoul,2025-07-28,Basic,Card,42.9,0,18.0,3,0
C0008,F,30,Busan,2025-11-27,Basic,Bank,27.7,1,19.4,3,0
C0009,F,32,Incheon,2024-12-14,Standard,Bank,37.1,3,40.9,3,0
C0010,F,30,Seoul,2024-07-22,Premium,Bank,57.7,3,48.0,4,1
C0011,M,30,,2024-09-02,Premium,Mobile,58.4,5,57.0,5,1
C0012,F,42,Seoul,2025-03-09,Basic,Mobile,37.0,6,17.7,4,0
C0013,M,23,Busan,2025-08-25,Basic,Card,33.0,0,17.9,1,1
C0014,F,37,Busan,2024-05-15,Standard,Card,38.7,1,34.2,4,0
C0015,F,101,Seoul,2025-11-20,Standard,Bank,48.7,0,33.1,1,1
C0016,F,39,Seoul,2024-03-18,Basic,Card,39.2,0,20.7,4,0
C0017,F,52,Busan,2025-02-14,Standard,Card,32.5,3,27.8,1,0
C0018,M,19,Incheon,2024-06-07,Standard,Bank,54.8,2,33.9,1,1
C0019,F,24,Incheon,2024-03-23,Basic,Mobile,21.4,2,18.2,1,0
C0020,F,32,Busan,2024-11-19,Standard,Bank,40.5,3,34.2,4,0
C0021,M,19,Incheon,2025-07-30,Basic,Bank,34.7,2,19.0,2,0
C0022,F,31,Daegu,2025-10-31,Standard,Bank,46.7,0,35.5,4,0
C0023,M,38,Seoul,2024-12-17,Basic,Bank,31.5,2,22.4,3,0
C0024,F,,Busan,2024-09-25,Basic,Card,,3,21.3,4,0
C0025,F,19,Seoul,2024-11-11,Basic,Card,22.1,0,23.4,5,0
C0026,F,27,Incheon,2024-08-30,Premium,Bank,69.2,5,53.2,5,0
C0027,M,37,Seoul,2024-06-12,Standard,Card,30.9,2,35.6,5,0
C0028,M,24,Incheon,2025-02-12,Basic,Bank,44.5,0,23.4,5,0
C0029,M,39,Incheon,2024-09-28,Basic,Mobile,26.0,4,19.8,3,0
C0030,F,25,Busan,2025-07-05,Standard,Card,51.5,0,35.2,4,0
C0031,M,,Busan,2025-11-13,Premium,Bank,46.7,0,57.7,3,0
C0032,F,28,Seoul,2025-03-16,Basic,Card,21.8,2,15.7,3,0
C0033,F,30,Seoul,2024-08-28,Standard,Card,34.4,1,36.6,2,0
C0034,F,19,Seoul,2025-02-13,Standard,Card,48.3,2,34.0,1,1
C0035,M,38,Seoul,2024-05-04,Standard,Bank,61.5,0,38.7,4,0
C0036,M,22,Seoul,2024-06-11,Premium,Bank,46.6,2,61.1,3,0
C0037,M,29,Busan,2024-11-23,Basic,Card,21.7,2,18.4,2,1
C0038,M,24,Seoul,2025-08-21,Basic,Card,,2,18.8,5,0
C0039,M,35,Incheon,2025-07-13,Basic,Bank,6.4,3,13.9,3,0
C0040,M,31,Incheon,2025-02-07,Premium,Bank,37.2,0,58.4,2,1
C0041,M,,Seoul,2025-03-07,Standard,Card,47.2,2,19.4,1,1
C0042,F,37,Daegu,2024-01-21,Premium,Card,42.3,1,62.0,3,0
C0043,M,35,Seoul,2024-06-16,Standard,Card,35.4,3,32.0,1,0
C0044,M,41,Seoul,2025-12-14,Premium,Card,55.4,2,63.9,4,0
C0045,M,20,Busan,2025-03-06,Standard,Card,38.7,2,29.7,5,0
C0046,M,40,Seoul,2025-05-10,Standard,Mobile,53.9,0,32.8,4,0
C0047,M,40,Seoul,2024-01-30,Standard,Card,36.4,0,32.3,3,0
C0048,M,23,Busan,2025-07-22,Basic,Card,23.4,2,15.2,4,1
C0049,F,28,Seoul,2024-12-18,Basic,Bank,32.6,0,20.9,3,1
C0050,F,33,Daegu,2024-07-15,Premium,Bank,48.6,2,53.1,4,0
C0051,F,39,Seoul,2024-05-09,Basic,Bank,20.0,1,25.7,4,0
C0052,M,36,Busan,2024-02-22,Standard,Card,43.0,2,37.7,2,0
