order_id,order_date,city,weather,traffic_level,distance_km,items_count,prep_minutes,courier_experience_years,vehicle_type,order_channel,delivery_minutes
ORD-20260147,2026-02-18,Busan,Clear,Medium,1.9,4,23.4,1.0,Scooter,Web,41.0
ORD-20260092,2026-04-04,Seoul,Cloudy,Low,8.1,5,21.6,7.6,Scooter,Web,51.9
ORD-20260336,2026-06-25,Daegu,Clear,High,7.2,2,20.0,3.7,Bike,App,58.7
ORD-20260381,2026-04-23,Seoul,Clear,Medium,6.4,4,19.5,1.4,Bike,App,48.0
ORD-20260507,2026-01-27,Daejeon,Clear,Medium,7.4,5,18.6,0.8,Scooter,App,46.1
ORD-20260080,2026-02-16,Busan,Clear,Medium,2.9,2,17.7,2.8,Scooter,Web,31.9
ORD-20260128,2026-03-31,Seoul,,Medium,9.3,3,13.1,0,Scooter,App,55.1
ORD-20260508,2026-05-31,Seoul,Clear,Medium,1.6,3,23.3,4.4,Scooter,Web,36.8
ORD-20260208,2026-03-24,Daegu,Rain,High,4.9,1,12.0,2.7,Scooter,App,39.6
ORD-20260359,2026-04-03,Seoul,Clear,Medium,6.9,2,10.2,0.0,Bike,App,47.9
ORD-20260010,2026-04-16,Daegu,Clear,High,9.6,4,21.0,3.0,Bike,App,57.5
ORD-20260389,2026-04-05,Daejeon,Snow,Low,6.6,5,29.0,0.0,Scooter,App,56.0
ORD-20260126,2026-02-13,Daegu,Clear,Medium,4.4,3,25.4,1.2,Car,Phone,45.4
ORD-20260339,2026-02-07,Daegu,Clear,High,7.1,1,21.7,,Scooter,Phone,58.4
ORD-20260060,2026-05-18,Incheon,Snow,Medium,7.2,4,16.4,3.1,Car,App,59.4
ORD-20260096,2026-07-06,Busan,Rain,Medium,1.8,1,13.4,5.9,Car,App,30.4
ORD-20260004,2026-04-01,Daegu,Clear,Medium,11.9,5,17.5,3.5,Car,Web,62.7
ORD-20260118,2026-06-10,Daejeon,Cloudy,Medium,6.7,3,22.5,0.5,Scooter,App,55.3
ORD-20260226,2026-07-19,Busan,Clear,High,3.2,4,16.7,1.9,Car,App,55.4
ORD-20260493,2026-01-08,Daejeon,Clear,Medium,5.5,4,19.8,0.4,Scooter,App,42.9
ORD-20260048,2026-03-11,Seoul,Rain,Medium,5.1,3,23.8,1.5,Bike,App,57.3
ORD-20260502,2026-03-28,Incheon,Clear,High,6.7,5,16.1,2.2,Scooter,Web,60.3
ORD-20260095,2026-06-04,Daejeon,Clear,Medium,8.0,2,25.7,5.0,Scooter,App,47.0
ORD-20260027,2026-07-01,Incheon,Clear,Medium,6.8,3,24.8,3.8,Scooter,App,54.1
ORD-20260111,2026-07-21,Seoul,Clear,High,4.2,3,23.0,1.5,Scooter,App,43.6
ORD-20260056,2026-06-30,Incheon,Clear,Medium,6.4,4,20.5,4.8,Scooter,App,46.7
ORD-20260396,2026-05-08,Seoul,Rain,Low,3.2,2,15.6,3.8,Scooter,Web,31.2
ORD-20260505,2026-05-07,Busan,Clear,High,5.8,1,11.8,4.8,Scooter,App,47.9
ORD-20260520,2026-07-12,Seoul,Rain,Medium,5.2,5,22.7,6.1,Scooter,App,51.1
ORD-20260257,2026-03-13,Seoul,,Low,4.4,4,22.8,3.7,Bike,App,44.8
ORD-20260517,2026-03-07,Incheon,Cloudy,Medium,1.3,1,14.4,6.3,Scooter,App,28.6
ORD-20260259,2026-03-11,Seoul,Clear,Medium,10.2,3,26.3,1.0,Bike,Web,63.4
ORD-20260283,2026-05-20,Seoul,Clear,Medium,3.1,4,22.4,4.9,Scooter,Web,44.7
ORD-20260014,2026-02-21,Daejeon,Cloudy,Medium,4.5,2,13.7,3.3,Bike,App,44.9
ORD-20260037,2026-04-18,Seoul,Rain,Low,0.4,4,18.8,1.8,Bike,Web,45.3
ORD-20260197,2026-07-16,Seoul,Cloudy,Medium,7.9,2,20.3,2.7,Scooter,App,52.5
ORD-20260345,2026-05-07,Seoul,Snow,Medium,5.6,2,20.0,2.7,Scooter,App,54.8
ORD-20260161,2026-04-09,Seoul,Clear,Medium,5.5,4,18.1,3.3,Scooter,Web,49.8
ORD-20260029,2026-07-19,Seoul,Rain,Low,7.3,3,24.4,2.9,Scooter,App,60.8
ORD-20260252,2026-04-20,Seoul,Cloudy,High,7.5,5,28.6,2.8,Scooter,Phone,66.6
ORD-20260039,2026-06-18,Busan,Rain,High,8.4,5,21.8,3.3,Car,App,65.8
ORD-20260343,2026-02-25,Incheon,Rain,Medium,6.6,2,16.1,2.7,Car,App,51.3
ORD-20260266,2026-06-09,Seoul,Snow,High,6.4,1,15.2,0,Scooter,App,59.4
ORD-20260042,2026-05-03,Daejeon,,Low,7.1,1,11.8,4.7,Scooter,Web,37.4
ORD-20260152,2026-05-27,Daejeon,Rain,High,8.1,1,8.1,1.3,Car,App,62.9
ORD-20260055,2026-05-05,Incheon,Clear,High,4.0,3,20.1,3.2,Car,Web,53.0
ORD-20260271,2026-07-28,Daejeon,Clear,Low,0.8,1,16.6,,Scooter,Web,19.3
