customer_id,signup_date,age,monthly_fee,tenure_months,support_calls,contract_type,payment_method,region,avg_usage_hours,late_payments,churn
CUST_1001,2022-08-17,50,69.51,47,2,one_year,card,Gwangju,7.54,0,0
CUST_1002,2024-10-31,28,51.65,21,1,monthly,cash,Gwangju,2.22,0,0
CUST_1003,2022-11-23,37,49.72,44,4,monthly,card,Daejeon,8.34,3,0
CUST_1004,2022-03-30,39,42.41,52,3,monthly,mobile,Gwangju,4.52,1,0
CUST_1005,2023-08-16,64,63.35,35,3,monthly,,Busan,3.56,0,0
CUST_1006,2022-05-27,35,59.24,50,2,monthly,bank_transfer,Daegu,3.79,2,0
CUST_1007,2022-03-07,45,47.95,52,5,one_year,mobile,Busan,6.32,0,0
CUST_1008,2024-07-28,45,75.58,24,2,one_year,cash,Gwangju,2.69,0,0
CUST_1009,2024-11-09,20,68.37,20,2,monthly,cash,Gwangju,4.05,2,0
CUST_1010,2024-12-19,40,92.39,19,4,monthly,mobile,Daegu,3.89,2,1
CUST_1011,2023-06-24,61,61.05,37,1,one_year,bank_transfer,Busan,4.76,0,0
CUST_1012,2024-12-22,55,53.75,19,1,monthly,mobile,Busan,4.86,3,0
CUST_1013,2022-06-25,38,30.44,49,4,monthly,cash,Gwangju,4.51,1,0
CUST_1014,2023-03-10,59,52.51,40,1,monthly,mobile,Daejeon,2.3,2,0
CUST_1015,2022-05-12,32,89.67,50,2,monthly,card,Busan,5.99,1,0
CUST_1016,2024-11-18,42,96.66,20,2,two_year,cash,Busan,5.68,1,0
CUST_1017,2022-07-18,34,51.27,48,0,monthly,card,Seoul,6.6,0,0
CUST_1018,2023-05-25,46,90.14,38,2,monthly,card,Daejeon,5.63,2,1
CUST_1019,2025-01-12,57,21.8,18,5,monthly,cash,Daejeon,3.33,1,1
CUST_1020,2024-02-16,52,67.27,29,5,monthly,cash,Busan,3.47,1,1
CUST_1021,2025-01-15,,73.48,18,4,two_year,bank_transfer,Seoul,5.4,1,0
CUST_1022,2025-05-03,62,83.48,14,0,one_year,card,Gwangju,7.1,2,0
CUST_1023,2023-10-10,48,61.61,33,1,monthly,mobile,Daejeon,3.57,0,1
CUST_1024,2024-07-27,29,49.25,24,4,monthly,,Daegu,6.04,3,0
CUST_1025,2022-11-20,27,76.48,44,0,one_year,card,Gwangju,9.42,0,0
CUST_1026,2022-10-03,,108.82,45,2,monthly,bank_transfer,Daegu,3.81,1,1
CUST_1027,2024-09-27,40,110.7,22,4,one_year,card,Seoul,5.56,0,0
CUST_1028,2022-11-27,40,41.7,44,1,monthly,bank_transfer,Gwangju,4.9,2,0
CUST_1029,2024-05-30,48,79.33,26,4,two_year,mobile,Busan,3.0,0,0
CUST_1030,2025-02-20,50,53.41,17,1,two_year,bank_transfer,Busan,4.12,1,0
CUST_1031,2023-11-12,43,46.82,32,0,monthly,bank_transfer,Seoul,2.37,0,0
CUST_1032,2023-02-13,46,46.7,41,1,monthly,card,Busan,7.65,0,0
CUST_1033,2023-07-26,32,86.21,36,0,monthly,card,Seoul,1.84,1,0
CUST_1034,2023-06-28,56,73.42,37,0,monthly,card,Daejeon,7.26,1,1
CUST_1035,2024-06-12,68,67.48,25,0,one_year,bank_transfer,Daegu,4.15,0,0
CUST_1036,2025-06-30,31,102.73,13,1,monthly,cash,Daegu,3.39,0,1
CUST_1037,2024-05-11,35,50.2,26,2,one_year,cash,Gwangju,3.75,1,0
CUST_1038,2025-04-02,32,56.04,15,0,monthly,bank_transfer,Seoul,5.71,0,0
CUST_1039,2022-07-11,,36.68,48,1,monthly,card,Seoul,3.73,1,0
CUST_1040,2022-05-30,18,78.53,50,0,monthly,cash,Busan,3.56,2,0
CUST_1041,2022-08-07,42,53.17,47,3,monthly,bank_transfer,Seoul,2.33,0,0
CUST_1042,2025-02-18,18,39.36,17,4,one_year,cash,Gwangju,3.32,0,0
CUST_1043,2024-07-10,40,82.05,24,0,monthly,bank_transfer,Daegu,2.6,0,0
CUST_1044,2023-11-19,34,89.58,32,3,one_year,bank_transfer,Seoul,5.74,0,0
CUST_1045,2022-05-08,44,87.12,50,4,one_year,cash,Daejeon,3.53,2,0
CUST_1046,2024-05-08,22,59.25,26,3,monthly,mobile,Daejeon,1.35,0,0
CUST_1047,2024-04-08,,29.18,27,6,monthly,cash,Gwangju,2.49,0,0
CUST_1048,2022-10-05,46,57.6,45,2,monthly,mobile,Daejeon,,0,0
CUST_1049,2022-06-17,21,73.17,49,6,monthly,,Seoul,6.15,1,0
CUST_1050,2022-02-11,34,56.8,53,1,two_year,cash,Daegu,4.94,1,0
CUST_1051,2022-08-23,42,55.22,47,1,two_year,cash,Daejeon,6.87,1,0
CUST_1052,2025-07-08,,97.88,12,1,one_year,card,Daegu,7.25,0,1
CUST_1053,2023-11-30,53,68.66,32,0,monthly,cash,Busan,4.91,0,0
CUST_1054,2023-07-08,20,37.11,36,21,one_year,mobile,Daegu,2.92,2,0
CUST_1055,2024-07-12,41,89.34,24,0,monthly,mobile,Busan,3.74,0,0
CUST_1056,2023-07-27,54,45.77,36,2,two_year,card,Busan,5.04,0,0
CUST_1057,2024-09-02,32,48.56,22,2,monthly,bank_transfer,Daegu,4.08,0,0
CUST_1058,2023-12-06,23,247.55,31,0,monthly,mobile,Busan,7.11,1,1
CUST_1059,2025-01-02,58,57.7,18,3,monthly,mobile,Seoul,,1,0
CUST_1060,2023-09-12,55,69.19,34,1,monthly,,Daejeon,9.35,1,0
CUST_1061,2024-09-07,33,71.67,22,6,monthly,card,Daejeon,6.08,0,0
CUST_1062,2022-11-07,50,87.74,44,0,monthly,cash,Gwangju,9.92,0,0
CUST_1063,2024-02-19,28,73.62,29,5,monthly,card,Gwangju,0.83,1,0
CUST_1064,2025-07-05,45,95.52,12,2,monthly,card,Daejeon,5.68,0,0
CUST_1065,2023-04-20,38,82.84,39,2,monthly,mobile,Gwangju,4.3,0,0
CUST_1066,2025-01-20,42,78.22,18,2,monthly,mobile,Gwangju,5.74,1,0
CUST_1067,2022-09-12,30,70.33,46,1,monthly,cash,Seoul,5.58,0,0
CUST_1068,2025-05-21,40,75.75,14,5,one_year,card,Daegu,4.03,0,0
CUST_1069,2024-11-28,25,30.73,20,3,one_year,cash,Seoul,6.85,0,0
CUST_1070,2022-08-03,47,53.05,47,1,two_year,card,Daejeon,3.49,2,0
CUST_1071,2024-04-07,55,38.98,27,5,monthly,,Busan,4.82,0,0
CUST_1072,2024-06-24,41,53.53,25,0,monthly,cash,Seoul,3.61,3,0
CUST_1073,2022-11-21,40,70.08,44,1,two_year,card,Daejeon,5.46,3,0
CUST_1074,2023-08-21,31,66.11,35,4,monthly,bank_transfer,Daejeon,0.7,1,0
CUST_1075,2022-10-07,47,54.87,45,2,two_year,mobile,Seoul,3.1,0,0
CUST_1076,2024-09-29,49,50.71,22,0,one_year,cash,Daejeon,4.95,3,0
CUST_1077,2023-05-05,33,60.64,38,2,one_year,cash,Daejeon,4.3,3,0
CUST_1078,2022-11-08,37,67.16,44,0,two_year,cash,Seoul,4.77,0,0
CUST_1079,2024-04-19,62,28.61,27,4,monthly,cash,Seoul,6.14,2,0
CUST_1080,2024-02-18,57,59.02,29,3,monthly,card,Busan,3.52,0,0
CUST_1081,2022-07-05,36,70.67,48,0,monthly,mobile,Seoul,2.23,3,0
CUST_1082,2024-02-07,32,73.31,29,0,monthly,bank_transfer,Seoul,6.15,0,0
CUST_1083,2024-10-16,46,61.21,21,0,monthly,card,Daejeon,5.11,2,1
CUST_1084,2024-06-23,74,47.0,25,0,one_year,cash,Daegu,8.94,1,0
CUST_1085,2023-05-01,32,79.79,39,1,monthly,cash,Daegu,7.33,3,0
CUST_1086,2022-04-11,57,258.53,51,4,one_year,bank_transfer,Gwangju,1.61,1,0
CUST_1087,2023-05-29,32,38.28,38,0,one_year,card,Daegu,2.07,1,0
CUST_1088,2022-09-27,49,75.97,46,2,monthly,,Gwangju,3.74,0,0
CUST_1089,2024-09-13,50,63.6,22,4,monthly,card,Busan,2.57,1,0
CUST_1090,2024-03-24,,59.62,28,0,monthly,card,Daejeon,7.05,0,0
CUST_1091,2024-02-20,53,24.35,29,3,monthly,mobile,Gwangju,5.58,1,0
CUST_1092,2023-09-11,37,58.97,34,2,two_year,card,Seoul,4.93,1,0
CUST_1093,2024-01-30,31,38.06,30,3,one_year,bank_transfer,Daejeon,4.21,0,0
CUST_1094,2023-07-27,52,70.93,36,0,two_year,card,Daegu,,0,0
CUST_1095,2024-03-26,35,118.83,28,5,monthly,bank_transfer,Gwangju,3.8,1,1
CUST_1096,2022-09-15,42,53.81,46,3,one_year,bank_transfer,Daegu,2.91,1,0
CUST_1097,2023-07-22,45,58.31,36,3,monthly,card,Busan,5.74,3,1
CUST_1098,2023-10-26,50,68.55,33,3,monthly,card,Daejeon,6.07,0,0
CUST_1099,2024-07-14,18,65.84,24,5,two_year,mobile,Daejeon,5.6,0,0
CUST_1100,2024-04-02,35,71.27,27,1,two_year,mobile,Gwangju,3.01,1,0
CUST_1101,2025-04-13,30,61.69,15,4,monthly,cash,Seoul,4.73,1,0
