customer_id,signup_date,age,monthly_spend,visits_per_month,support_calls,membership_type,region,device,satisfaction_score,target_segment
OH0273,2021-04-05,28,97.3,13,1,Silver,Daejeon,Web,3.6,Gold
OH0435,2024-01-17,40,98.37,9,2,VIP,Daegu,Android,4.9,Platinum
OH0120,2023-09-27,42,170.92,7,2,Silver,Seoul,Web,2.9,Silver
OH0420,2021-03-25,52,226.54,13,3,VIP,Busan,iOS,2.8,Platinum
OH0155,2021-12-25,18,111.23,14,3,Gold,Daejeon,iOS,4.7,Platinum
OH0118,2023-07-23,18,271.23,4,3,Gold,Daegu,iOS,5.0,Platinum
OH0592,2025-03-06,33,236.06,15,3,Gold,Busan,Android,4.3,Platinum
OH0401,2021-07-21,45,165.5,16,0,Silver,Daejeon,iOS,4.1,Platinum
OH0576,2023-04-22,48,144.56,9,4,Gold,Seoul,Android,2.4,Gold
OH0560,2024-11-10,69,84.99,13,4,Gold,Daegu,iOS,3.1,Silver
OH0368,2022-03-30,42,133.67,10,3,VIP,Daegu,Android,4.3,Platinum
OH0597,2024-01-14,50,126.96,7,3,Basic,Incheon,iOS,3.4,Silver
OH0180,2021-01-20,20,212.04,12,0,VIP,Incheon,iOS,2.5,Platinum
OH0328,2021-08-03,44,69.03,17,1,VIP,Daegu,iOS,3.7,Platinum
OH0201,2024-04-03,26,147.11,11,4,Gold,Daejeon,iOS,3.7,Platinum
OH0067,2021-12-07,28,113.17,9,3,VIP,Daejeon,Android,1.9,Platinum
OH0014,2025-10-15,28,21.95,7,4,Silver,Daejeon,Web,3.7,Bronze
OH0585,2022-03-11,42,143.49,12,2,Basic,Seoul,iOS,3.6,Gold
OH0513,2023-08-23,59,143.08,16,2,Silver,Daegu,iOS,4.4,Gold
OH0474,2021-07-12,19,74.42,14,2,Silver,Incheon,Android,3.4,Gold
OH0042,2025-10-19,28,175.66,8,2,Gold,Incheon,Android,2.8,Platinum
OH0470,2021-08-07,38,58.28,17,5,Silver,Seoul,Android,2.7,Bronze
OH0299,2024-03-28,41,115.69,10,4,Silver,Incheon,Android,3.2,Bronze
OH0017,2025-12-26,22,159.3,10,2,Basic,Seoul,iOS,4.8,Silver
OH0391,2023-11-18,35,91.75,3,1,Gold,Daejeon,Android,4.2,Gold
OH0002,2021-09-15,38,63.0,3,1,VIP,Daegu,iOS,3.4,Platinum
OH0194,2022-09-18,46,187.87,11,0,Silver,Seoul,Android,3.3,Platinum
OH0374,2024-08-12,53,144.08,10,3,VIP,Seoul,iOS,5.0,Platinum
OH0484,2023-09-09,37,103.19,7,7,Basic,Daegu,iOS,3.4,Bronze
OH0530,2026-01-05,37,148.72,10,1,Silver,Daegu,Android,4.3,Gold
OH0071,2021-03-26,37,167.76,2,0,Silver,Incheon,Android,3.3,Silver
OH0174,2024-05-08,27,276.73,10,3,Gold,Daejeon,Android,2.4,Platinum
OH0382,2025-08-17,36,219.29,7,2,Gold,Busan,iOS,2.9,Platinum
OH0215,2021-12-09,37,124.15,14,3,Basic,Seoul,iOS,3.2,Silver
OH0577,2023-09-27,36,169.65,3,6,Basic,Busan,Web,3.8,Gold
OH0424,2021-03-05,55,142.22,16,2,Gold,Daegu,iOS,4.7,Platinum
OH0287,2023-06-10,42,127.51,11,1,Silver,Daegu,iOS,2.4,Silver
OH0477,2022-08-10,40,147.95,13,1,VIP,Daejeon,Android,4.1,Platinum
OH0048,2022-03-30,44,136.12,13,1,Basic,Incheon,Android,3.4,Gold
OH0089,2021-05-16,54,159.14,13,2,Silver,Incheon,Web,3.5,Gold
OH0601,2022-03-31,33,,11,2,Gold,Busan,Android,3.9,Platinum
OH0492,2022-08-02,59,79.41,13,2,Gold,Daejeon,Android,4.1,Gold
OH0319,2025-11-25,32,104.46,20,3,Basic,Busan,Web,2.9,Silver
OH0598,2024-03-13,31,91.16,12,1,Basic,Incheon,Web,2.4,Bronze
OH0199,2022-07-02,34,108.89,13,2,Gold,Daejeon,iOS,2.3,Gold
OH0325,2026-01-20,42,140.78,14,0,Gold,Daegu,Android,4.2,Platinum
OH0087,2024-07-03,40,109.64,13,4,Silver,Daegu,Web,3.8,Silver
OH0531,2023-01-19,33,187.17,13,3,VIP,Busan,Android,3.8,Platinum
OH0356,2024-10-05,36,141.38,11,1,VIP,Seoul,Android,3.9,Platinum
OH0569,2024-05-28,41,212.45,7,1,Basic,Daegu,iOS,2.5,Gold
OH0554,2024-05-15,23,78.34,16,1,Silver,Busan,Android,3.2,Gold
OH0536,2024-11-05,46,123.95,8,0,VIP,Daejeon,iOS,3.2,Gold
OH0459,2023-10-19,52,212.16,15,5,Silver,Incheon,Web,2.9,Gold
OH0025,2022-04-26,66,58.82,7,0,VIP,Daejeon,Android,4.0,Gold
OH0127,2024-11-24,57,192.16,14,2,,Incheon,Android,4.8,Platinum
OH0489,2025-01-15,39,120.64,11,1,Basic,Daegu,iOS,1.7,Silver
OH0327,2022-07-30,57,101.01,14,0,Gold,Daejeon,Web,4.4,Platinum
OH0320,2023-01-12,33,89.95,11,2,Gold,Incheon,Android,3.6,Platinum
OH0047,2021-10-12,18,192.14,2,1,Basic,Busan,iOS,1.9,Silver
OH0040,2022-03-08,38,151.55,1,2,Basic,Busan,Android,2.1,Bronze
OH0587,2021-04-26,54,171.83,16,1,Basic,Seoul,Android,4.1,Gold
OH0378,2024-10-15,36,138.79,19,2,VIP,Incheon,iOS,3.1,Platinum
OH0462,2023-07-28,22,128.19,12,5,,Incheon,Android,3.9,Gold
OH0331,2024-01-29,32,77.93,12,4,VIP,Daejeon,Android,3.2,Platinum
OH0453,2021-07-21,34,119.21,5,0,Gold,Daegu,Web,2.5,Gold
OH0434,2024-03-10,,43.1,4,1,Silver,Daegu,Android,4.7,Silver
OH0465,2023-12-16,50,283.43,17,3,Silver,Busan,Web,2.7,Platinum
OH0318,2021-12-17,27,125.52,12,2,Gold,Daejeon,Android,4.2,Platinum
