customer_id,signup_date,age,monthly_spend,visits_per_month,support_calls,membership_type,region,device,satisfaction_score,target_segment
CUST0001,2022-03-07,37,120.49,10,3,VIP,Seoul,iOS,3.3,2
CUST0002,2023-07-24,47,137.19,9,2,Silver,Busan,Android,3.8,3
CUST0003,2024-02-18,39,124.15,13,0,VIP,Daegu,Android,3.1,3
CUST0004,2023-08-24,58,190.9,3,0,VIP,Incheon,Android,3.3,3
CUST0005,2023-04-22,46,62.95,15,0,Basic,Daegu,Web,3.3,1
CUST0006,2022-12-17,46,89.98,1,3,Gold,Seoul,iOS,3.8,2
CUST0007,2022-04-25,30,121.23,7,2,Basic,Daegu,Web,4.6,1
CUST0008,2024-10-19,39,143.93,9,3,Gold,Daegu,Android,3.9,3
CUST0009,2024-03-28,18,204.39,7,2,Basic,Incheon,Web,3.4,2
CUST0010,2024-05-14,18,274.35,14,4,Basic,Busan,iOS,3.5,2
CUST0011,2025-01-04,29,99.13,6,1,VIP,Seoul,iOS,3.4,3
CUST0012,2023-01-01,39,35.9,8,3,Gold,Daegu,Web,3.4,1
CUST0013,2024-12-22,33,128.74,4,0,Silver,Busan,iOS,2.8,1
CUST0014,2025-03-07,53,93.57,8,2,Gold,Busan,Android,1.7,3
CUST0015,2022-12-05,43,122.38,9,2,Basic,Incheon,Web,3.5,0
CUST0016,2025-10-07,36,241.11,7,3,Basic,Daegu,Android,2.0,1
CUST0017,2022-01-15,31,82.25,8,2,Silver,Busan,iOS,3.5,2
CUST0018,2022-09-28,54,163.51,12,6,Basic,Incheon,Android,3.6,1
CUST0019,2024-04-21,34,17.8,7,1,Basic,Incheon,Android,2.5,0
CUST0020,2023-01-25,20,148.28,4,0,Basic,Seoul,Android,4.1,2
CUST0021,2025-01-12,32,123.17,13,4,Gold,Seoul,Android,3.7,2
CUST0022,2022-12-04,55,15,19,0,,Incheon,Web,3.9,2
CUST0023,2023-08-31,18,240.14,10,5,,Incheon,Android,2.5,3
CUST0024,2024-11-06,39,148.7,10,1,,Busan,Android,3.3,2
CUST0025,2022-03-23,45,147.01,4,0,VIP,Busan,iOS,3.4,3
CUST0026,2022-09-26,29,90.91,5,1,Gold,Busan,Android,4.0,2
CUST0027,2023-03-13,34,89.06,7,5,VIP,Seoul,Android,4.3,3
CUST0028,2025-09-01,32,128.92,9,3,Silver,Daegu,iOS,3.4,2
CUST0029,2022-11-15,21,115.23,1,0,Basic,Seoul,iOS,4.9,2
CUST0030,2024-05-17,36,204.21,10,1,Silver,Seoul,Android,2.9,2
CUST0031,2022-08-18,40,115.49,9,3,Silver,Incheon,iOS,3.9,2
CUST0032,2024-01-17,61,181.89,16,1,Basic,Busan,Android,4.0,2
CUST0033,2022-11-13,56,71.84,17,0,Basic,Incheon,Web,3.6,2
CUST0034,2024-04-23,46,111.82,15,5,Basic,Daegu,iOS,3.8,2
CUST0035,2024-07-31,46,25.99,12,1,Gold,Incheon,Android,3.5,2
CUST0036,2023-07-26,25,212.6,13,1,Basic,Seoul,Web,2.9,2
CUST0037,2023-06-28,30,182.82,6,0,Gold,Daegu,Android,3.3,3
CUST0038,2025-12-22,54,147.64,6,5,Basic,Busan,Android,1.0,0
CUST0039,2025-09-22,25,156.05,13,0,Basic,Incheon,Android,4.8,2
CUST0040,2023-08-29,53,93.31,9,1,Gold,Daegu,Android,4.3,2
CUST0041,2022-01-01,31,117.96,8,0,Silver,Incheon,iOS,3.4,2
CUST0042,2022-12-14,36,165.64,12,0,Gold,Incheon,iOS,3.0,3
CUST0043,2023-02-12,33,92.23,7,0,Basic,Daegu,Android,5.0,2
CUST0044,2024-02-26,41,143.52,17,2,VIP,Busan,iOS,3.5,3
CUST0045,2025-11-26,30,131.45,10,2,Basic,Incheon,Android,3.4,0
CUST0046,2024-06-25,35,128.01,11,6,Gold,Daegu,Web,1.8,2
CUST0047,2023-05-22,24,73.0,1,2,Gold,Incheon,iOS,1.6,0
CUST0048,2023-10-17,44,92.55,11,0,Gold,Busan,Android,3.5,3
CUST0049,2024-05-01,42,115.96,13,4,Silver,Daegu,iOS,3.8,2
CUST0050,2023-12-22,59,169.67,4,4,VIP,Incheon,iOS,3.6,3
CUST0051,2023-07-13,35,182.15,18,0,Gold,Busan,iOS,2.0,3
CUST0052,2024-12-29,36,135.24,7,5,Silver,Busan,Web,3.0,1
CUST0053,2023-11-02,50,139.28,9,2,Silver,Seoul,Android,3.1,2
CUST0054,2025-01-09,41,177.52,11,0,Basic,Seoul,iOS,3.4,1
CUST0055,2022-02-11,66,173.56,11,3,Basic,Busan,Android,3.6,2
CUST0056,2025-05-28,,101.96,8,2,Basic,Daegu,Android,4.4,1
CUST0057,2026-01-04,57,110.22,11,1,VIP,Incheon,Android,3.0,3
CUST0058,2025-03-05,44,199.81,12,1,Gold,Seoul,iOS,3.2,3
CUST0059,2024-01-12,41,80.27,6,3,Gold,Incheon,Android,2.6,1
CUST0060,2026-02-06,24,52.25,9,0,Basic,Incheon,iOS,3.2,0
CUST0061,2024-10-09,30,103.37,11,7,Gold,Incheon,Android,3.2,2
CUST0062,2024-11-24,43,101.93,13,5,Gold,Daegu,iOS,2.4,3
CUST0063,2022-02-05,43,122.54,9,0,Silver,Incheon,Android,3.5,1
CUST0064,2025-02-01,46,151.49,9,0,Silver,Incheon,Web,2.5,2
CUST0065,2024-09-18,,204.88,10,4,,Busan,Android,3.8,2
CUST0066,2022-01-29,36,202.39,11,0,Basic,Daegu,Android,5.0,3
CUST0067,2022-01-26,37,102.37,12,2,Silver,Incheon,Android,2.8,3
CUST0068,2022-06-01,26,102.21,8,2,Silver,Seoul,Android,5.0,2
CUST0069,2025-06-20,22,91.03,16,5,Basic,Incheon,iOS,3.8,1
CUST0070,2022-07-23,41,,5,3,Basic,Seoul,iOS,5.0,1
CUST0071,2025-11-12,46,117.86,12,5,Basic,Seoul,Android,3.7,1
CUST0072,2025-07-04,30,104.63,11,5,Gold,Daegu,iOS,3.1,1
CUST0073,2022-12-06,20,76.91,11,3,Basic,Busan,Android,3.5,1
CUST0074,2024-10-21,43,58.68,16,0,Basic,Incheon,Web,2.5,1
CUST0075,2025-03-24,26,115.33,2,0,Basic,Busan,Web,3.3,0
CUST0076,2023-01-07,36,124.14,11,0,Basic,Incheon,Web,2.0,1
CUST0077,2023-11-07,51,128.87,16,0,Basic,Seoul,Web,2.5,2
CUST0078,2024-04-07,27,163.91,8,0,Basic,Daegu,Android,3.4,2
CUST0079,2022-04-16,53,52.94,21,2,Silver,Incheon,iOS,3.1,2
CUST0080,2023-09-29,43,196.49,15,1,VIP,Busan,iOS,3.3,3
CUST0081,2026-01-07,24,,23,5,Basic,Busan,iOS,4.3,2
CUST0082,2024-11-06,34,213.03,6,3,Basic,Busan,Web,2.4,1
CUST0083,2023-08-03,38,100.21,18,3,Gold,Daegu,Web,3.9,3
CUST0084,2025-01-17,35,26.34,4,1,Silver,Daegu,iOS,4.0,0
CUST0085,2024-08-26,19,,20,0,Gold,Incheon,Android,3.5,3
CUST0086,2025-04-23,32,33.49,5,4,Silver,Seoul,Android,4.5,0
CUST0087,2023-06-27,36,152.01,12,1,Basic,Busan,Android,3.5,2
CUST0088,2024-09-26,29,201.74,5,0,Silver,Daegu,iOS,4.5,2
CUST0089,2025-07-21,41,119.31,17,3,Gold,Incheon,Web,5.0,3
CUST0090,2022-10-26,37,105.74,13,3,Basic,Daegu,Android,4.2,1
CUST0091,2025-04-09,39,186.65,9,1,Silver,Busan,iOS,4.0,3
