customer_id,signup_date,age,monthly_usage_hours,support_tickets,satisfaction_score,monthly_fee,contract_type,payment_method,region,auto_renew,churn_risk
CUS-0146,2022-05-14,37,47.1,0,3.5,72.6,two_year,card,daegu,0,low
CUS-0281,2023-01-06,51,55.6,1,2.6,57.0,annual,card,busan,1,low
CUS-0176,2025-08-07,36,54.8,1,4.1,76.3,monthly,card,seoul,0,low
CUS-0411,2023-05-29,62,46.7,3,4.3,108.9,monthly,bank_transfer,daegu,1,medium
CUS-0420,2022-03-01,33,27.5,1,3.3,32.0,two_year,mobile,seoul,1,low
CUS-0074,2026-01-06,62,49.7,1,3.2,64.7,monthly,mobile,busan,1,medium
CUS-0133,2023-02-22,31,44.3,1,2.7,65.2,monthly,mobile,busan,0,medium
CUS-0138,2023-05-18,57,37.7,1,4.1,89.8,monthly,bank_transfer,daegu,0,low
CUS-0031,2025-10-20,60,15.3,1,4.1,94.1,monthly,mobile,daejeon,0,medium
CUS-0073,2025-03-20,25,39.8,3,3.9,88.8,monthly,card,seoul,0,medium
CUS-0071,2026-02-21,45,37.0,2,2.9,67.7,two_year,bank_transfer,daejeon,1,medium
CUS-0095,2026-05-21,51,36.2,1,3.9,74.7,monthly,mobile,seoul,0,low
CUS-0317,2022-04-16,47,48.9,1,4.1,32.6,monthly,mobile,busan,1,low
CUS-0091,2026-05-29,41,31.6,2,4.8,94.8,monthly,mobile,daejeon,0,medium
CUS-0376,2023-10-27,63,39.8,2,4.1,47.2,two_year,card,busan,0,low
CUS-0416,2023-01-16,50,41.7,0,2.1,358.5,monthly,bank_transfer,busan,0,high
CUS-0010,2023-06-11,31,50.3,1,5.0,58.5,annual,card,daegu,1,low
CUS-0248,2021-09-14,22,60.8,2,4.8,69.4,annual,card,daegu,0,low
CUS-0197,2022-11-09,48,24.2,1,2.6,81.9,monthly,mobile,daegu,1,high
CUS-0232,2025-04-03,33,46.0,5,3.9,34.0,annual,card,seoul,0,low
CUS-0193,2022-11-10,63,33.0,0,2.8,59.5,annual,cash,seoul,1,low
CUS-0240,2024-12-13,42,69.8,1,4.1,49.3,monthly,card,seoul,1,low
CUS-0351,2022-01-28,64,47.0,3,1.0,36.2,monthly,card,daegu,1,medium
CUS-0229,2022-12-31,28,26.1,2,2.3,83.5,monthly,bank_transfer,gwangju,1,medium
