student_id,study_hours,attendance_rate,assignment_score,mock_exam_score,sleep_hours,study_method,course_level,prior_course,performance_class
STU0001,5.2,64.8,74.9,56.9,6.4,group_study,basic,0,1
STU0002,4.6,88.6,52.0,81.4,8.2,self_study,intermediate,0,1
STU0003,5.2,86.2,73.3,75.0,6.0,group_study,advanced,1,1
STU0004,6.8,68.2,98.3,76.1,5.6,group_study,intermediate,1,2
STU0005,7.2,58.9,62.4,61.9,8.5,academy,basic,1,1
STU0006,4.0,86.5,94.3,47.0,7.2,group_study,basic,0,1
STU0007,2.8,71.4,65.1,82.1,5.2,group_study,intermediate,0,1
STU0008,7.0,73.1,44.6,58.5,,academy,basic,0,1
STU0009,5.1,67.1,39.6,61.9,8.6,online,intermediate,0,0
STU0010,5.1,69.1,62.7,78.6,6.4,,basic,1,1
STU0011,2.4,85.5,56.5,71.4,6.2,self_study,basic,0,0
STU0012,0.5,83.0,61.9,63.3,5.9,online,intermediate,1,0
STU0013,4.3,75.5,66.7,49.3,6.1,group_study,basic,1,0
STU0014,0.9,75.6,60.9,58.1,7.1,academy,basic,0,0
STU0015,4.2,100,38.9,63.5,6.0,online,intermediate,0,0
STU0016,7.6,68.9,51.4,60.2,8.6,self_study,intermediate,0,0
STU0017,6.5,89.6,92.8,90.4,7.7,online,intermediate,1,2
STU0018,1.1,90.4,61.1,38.0,5.2,academy,intermediate,1,0
STU0019,8.4,54.7,64.1,47.3,5.3,group_study,basic,1,1
STU0020,1.7,78.2,64.0,59.8,8.9,group_study,basic,1,0
STU0021,3.2,75.5,40.9,41.2,6.4,online,basic,0,0
STU0022,4.4,79.7,49.7,77.4,5.9,self_study,intermediate,0,0
STU0023,1.9,74.9,87.0,67.5,7.0,academy,intermediate,0,1
STU0024,2.4,75.7,86.8,84.1,4.3,self_study,advanced,1,1
STU0025,3.9,78.3,92.3,70.4,6.9,academy,basic,1,1
STU0026,6.4,83.7,72.3,43.6,6.8,group_study,intermediate,0,1
STU0027,4.9,100,73.6,89.3,5.2,self_study,intermediate,1,2
STU0028,2.5,93.1,81.8,94.4,7.4,online,intermediate,1,0
STU0029,5.4,73.6,86.2,85.6,7.5,academy,advanced,1,1
STU0030,2.6,68.9,48.7,73.1,,online,basic,0,0
STU0031,1.8,63.3,45.4,46.4,6.5,group_study,basic,1,0
STU0032,4.3,75.4,60.3,70.7,,online,basic,1,0
STU0033,1.1,72.4,51.2,74.1,6.5,self_study,basic,0,0
STU0034,5.2,93.4,77.2,73.8,6.4,group_study,intermediate,0,1
STU0035,5.3,72.4,50.4,63.8,6.6,online,basic,0,0
STU0036,7.2,78.0,83.3,38.0,7.1,group_study,basic,1,2
STU0037,4.4,90.2,48.9,34.8,7.7,self_study,basic,1,1
STU0038,1.7,61.2,62.5,57.0,4.9,online,basic,1,0
STU0039,4.2,81.5,67.3,62.4,6.1,self_study,basic,1,1
STU0040,7.2,91.0,46.2,67.7,7.6,online,advanced,0,1
STU0041,7.2,60.8,65.7,35.8,8.1,academy,intermediate,1,1
