ticket_id,created_at,customer_age,membership_tier,issue_type,contact_channel,region,monthly_spend,tenure_months,previous_tickets,avg_response_minutes,satisfaction_score,reopened_count,resolution_hours,priority
TK-260000,2025-10-02 12:00:00,21,Gold,Delivery,Email,Seoul,158405,51,0,74,2.8,1,4.5,High
TK-260001,2026-01-31 00:00:00,24,Silver,Payment,Chat,Busan,88777,8,7,62,3.3,0,4.6,Medium
TK-260002,2025-05-24 14:00:00,51,Silver,Payment,Chat,Busan,72751,45,1,14,4.4,0,14.4,Medium
TK-260003,2026-03-15 02:00:00,47,VIP,Payment,Chat,Incheon,223965,65,3,56,4.9,3,6.1,Medium
TK-260004,2025-08-06 11:00:00,32,Silver,Technical,Email,Seoul,96114,11,2,57,2.6,1,9.2,Medium
TK-260005,2025-02-10 09:00:00,24,Gold,Technical,Phone,Incheon,158378,79,5,75,4.2,0,4.0,Low
TK-260006,2025-01-25 00:00:00,67,Silver,Payment,Chat,Daegu,54514,17,7,71,4.0,2,6.3,Medium
TK-260007,2026-02-28 17:00:00,51,Silver,Payment,App,Daegu,88415,85,1,93,3.0,0,3.5,Medium
TK-260008,2026-02-10 09:00:00,43,Silver,Payment,Phone,Incheon,60435,58,1,95,,1,10.8,Medium
TK-260009,2025-10-22 00:00:00,47,Basic,Account,Phone,Seoul,51798,45,6,58,3.4,0,8.1,Medium
TK-260010,2025-12-23 12:00:00,24,Silver,Delivery,Email,Busan,99602,59,1,49,2.4,0,4.3,Low
TK-260011,2025-06-21 09:00:00,31,Silver,Account,Phone,Seoul,78238,9,1,40,4.6,2,12.7,Low
TK-260012,2026-04-28 14:00:00,48,Basic,Delivery,Chat,Busan,59419,36,1,65,5.0,0,5.2,Medium
TK-260013,2025-03-01 06:00:00,47,Basic,Technical,Phone,Seoul,58858,30,4,74,4.2,0,3.5,Medium
TK-260014,2026-07-20 15:00:00,20,Silver,Payment,Email,Seoul,97117,5,7,53,4.2,2,5.7,Low
TK-260015,2025-10-29 10:00:00,73,Silver,Delivery,Email,Daejeon,106799,3,3,44,2.8,2,7.6,Medium
TK-260016,2026-02-22 14:00:00,29,Silver,Delivery,Phone,Incheon,101848,94,4,68,5.0,0,5.1,Medium
TK-260017,2026-03-29 03:00:00,48,Gold,Account,Chat,Daejeon,136170,42,2,38,3.2,0,3.0,Low
TK-260018,2025-04-30 01:00:00,33,Silver,Payment,App,Daegu,105437,72,2,31,4.1,2,8.8,Low
TK-260019,2025-07-14 13:00:00,55,Basic,Technical,App,Busan,36374,89,1,104,2.4,0,4.3,Low
TK-260020,2025-09-25 17:00:00,47,Silver,Payment,Email,Busan,84217,69,6,109,3.3,1,6.0,Low
TK-260021,2026-06-12 03:00:00,41,Gold,Delivery,App,Daegu,139365,45,4,54,3.8,0,3.3,Medium
TK-260022,2026-06-26 18:00:00,61,Silver,Technical,Chat,Seoul,78558,59,0,115,3.0,0,8.0,Medium
TK-260023,2025-10-13 20:00:00,19,Basic,Delivery,Email,Daejeon,31549,75,0,56,3.2,0,4.3,Medium
TK-260024,2025-10-27 19:00:00,47,Gold,Cancellation,Email,Busan,159023,1,2,84,4.9,0,15.4,Low
TK-260025,2025-06-10 18:00:00,19,Basic,Technical,App,Busan,56633,20,3,67,3.1,2,7.5,High
TK-260026,2026-06-11 08:00:00,22,Silver,Payment,Email,Incheon,67833,10,5,58,1.9,0,6.8,Medium
TK-260027,2025-06-19 15:00:00,61,Basic,Account,Chat,Seoul,70833,37,3,90,3.5,0,9.5,Medium
TK-260028,2026-01-22 03:00:00,67,Gold,Cancellation,App,Daegu,154357,22,4,57,3.2,0,5.9,Medium
TK-260029,2025-04-23 11:00:00,51,Basic,Technical,App,Incheon,33069,12,5,48,3.9,0,1.8,Medium
TK-260030,2025-06-03 02:00:00,45,Gold,Payment,App,Busan,115805,44,7,42,4.5,1,2.2,Low
TK-260031,2025-05-10 09:00:00,38,Silver,Account,Email,Incheon,85096,69,5,6,2.7,0,5.1,Medium
TK-260032,2025-05-05 20:00:00,29,Gold,Technical,Phone,Busan,123434,50,4,67,3.7,0,2.1,High
TK-260033,2026-04-28 19:00:00,66,Silver,Account,Phone,Daegu,100070,95,2,53,3.8,0,6.0,Low
TK-260034,2025-06-27 09:00:00,33,Silver,Cancellation,Chat,Daegu,55580,29,4,99,2.8,0,6.0,Low
TK-260035,2025-01-24 19:00:00,46,Silver,Delivery,Email,Seoul,100868,62,2,27,2.3,3,3.4,Low
TK-260036,2025-07-25 18:00:00,21,Gold,Delivery,Chat,Seoul,159754,82,11,29,4.1,0,1.6,Low
TK-260037,2025-05-29 04:00:00,71,Gold,Technical,Phone,Seoul,124555,86,2,79,3.5,0,5.1,Low
TK-260038,2026-01-29 20:00:00,33,Basic,Technical,Email,Daegu,51317,92,3,78,3.8,1,2.0,Low
TK-260039,2025-08-06 07:00:00,49,Silver,Delivery,App,Busan,75421,56,8,2,3.3,0,8.9,Medium
TK-260040,2025-12-13 16:00:00,67,Basic,Technical,App,Seoul,44449,78,9,86,2.9,0,2.9,Medium
TK-260041,2025-07-07 14:00:00,71,VIP,Account,App,Daegu,219220,33,4,33,3.6,0,8.9,Medium
TK-260042,2025-08-11 13:00:00,61,Gold,Payment,Chat,Busan,109437,67,0,70,3.4,0,4.0,Medium
TK-260043,2025-10-29 06:00:00,57,Basic,Delivery,App,Busan,59278,54,0,60,4.3,1,4.3,Low
TK-260044,2025-05-25 06:00:00,23,Basic,Technical,Phone,Seoul,40519,95,3,146,4.1,0,5.6,Medium
TK-260045,2025-03-14 16:00:00,71,Basic,Payment,Phone,Seoul,49617,46,2,77,4.0,4,6.1,Medium
TK-260046,2025-04-01 08:00:00,35,Silver,Account,Phone,Busan,86787,16,9,51,3.6,1,6.8,Medium
TK-260047,2025-12-23 18:00:00,39,VIP,Technical,Email,Incheon,204008,77,2,19,5.0,0,10.7,Medium
TK-260048,2026-04-30 05:00:00,23,Gold,Technical,App,Daegu,156375,91,7,72,3.6,0,7.5,Medium
TK-260049,2026-04-22 10:00:00,41,Silver,Delivery,Email,Daejeon,95820,23,6,2,2.6,3,6.4,Medium
TK-260050,2025-09-07 08:00:00,29,Basic,Technical,Chat,Busan,49932,2,5,102,3.7,0,7.7,Medium
TK-260051,2025-10-23 05:00:00,44,Basic,Account,Chat,Seoul,55959,81,5,48,3.5,0,6.6,Medium
TK-260052,2025-05-12 22:00:00,23,Gold,Account,,Seoul,145658,2,2,740,3.9,0,7.2,Low
TK-260053,2025-03-12 16:00:00,50,Basic,Delivery,Email,Incheon,62167,7,2,32,3.9,0,1.8,Low
TK-260054,2025-04-28 21:00:00,71,Basic,Payment,Email,Daegu,27873,56,2,18,4.5,0,2.1,Low
TK-260055,2026-04-29 20:00:00,42,Basic,Technical,Phone,Incheon,31400,88,3,22,3.0,0,10.8,Medium
TK-260056,2026-03-22 10:00:00,47,Basic,Technical,Email,Busan,47561,86,6,51,4.6,1,5.9,Medium
TK-260057,2025-05-06 15:00:00,27,Silver,Technical,App,Daejeon,71973,31,7,72,3.5,0,17.4,Medium
TK-260058,2026-01-23 15:00:00,27,Silver,Delivery,App,Daegu,70953,2,3,16,3.6,1,5.7,Medium
TK-260059,2025-04-11 02:00:00,19,Gold,Payment,Phone,Incheon,156189,32,2,28,3.6,0,5.9,Medium
TK-260060,2026-01-02 12:00:00,70,VIP,Delivery,Chat,Daegu,,47,3,53,2.6,1,5.5,Low
TK-260061,2025-06-12 18:00:00,73,Basic,Delivery,Phone,Incheon,51010,84,3,82,4.9,0,2.4,Medium
TK-260062,2025-05-09 01:00:00,42,Basic,Delivery,Email,Seoul,22441,17,4,48,3.7,0,3.9,Medium
TK-260063,2025-01-04 08:00:00,51,Basic,Payment,Chat,Seoul,58656,96,9,96,3.4,4,26.2,High
TK-260064,2026-05-09 09:00:00,67,Basic,Technical,Chat,Daejeon,34724,59,1,76,3.9,2,3.1,Medium
TK-260065,2025-01-14 05:00:00,41,Basic,Technical,App,Daejeon,45326,14,5,110,3.5,0,10.8,Medium
TK-260066,2026-04-10 10:00:00,19,Basic,Technical,Chat,Seoul,36515,66,3,82,2.3,0,3.9,Low
TK-260067,2025-02-23 21:00:00,22,Silver,Technical,Phone,Busan,96786,44,2,105,,0,5.0,Low
TK-260068,2026-02-03 16:00:00,38,Gold,Cancellation,Email,Seoul,151123,53,4,120,4.4,1,6.1,Low
TK-260069,2025-07-03 11:00:00,33,Basic,Technical,Chat,Busan,34561,20,0,89,3.7,2,3.4,Medium
TK-260070,2025-10-30 19:00:00,34,Gold,Delivery,Chat,Seoul,124374,95,0,2,5.0,0,3.8,Medium
TK-260071,2025-04-16 18:00:00,76,Silver,Delivery,Phone,Busan,75357,55,3,35,3.3,0,3.0,Low
TK-260072,2025-09-21 17:00:00,67,Silver,Account,Chat,Daegu,54517,20,3,51,3.3,0,4.3,Low
TK-260073,2026-05-07 05:00:00,22,Basic,Account,Chat,Daegu,32492,65,0,104,3.3,1,9.4,Medium
TK-260074,2025-07-04 18:00:00,55,Gold,Cancellation,App,Seoul,146384,91,5,84,3.9,0,4.9,Low
TK-260075,2026-01-08 05:00:00,20,Silver,Account,Phone,Seoul,58089,79,4,54,4.0,3,6.1,Medium
TK-260076,2025-06-07 13:00:00,20,Basic,Account,Chat,Incheon,52416,11,1,78,3.6,3,2.6,High
TK-260077,2026-02-24 22:00:00,36,Basic,Payment,Chat,Seoul,56863,40,8,48,4.7,4,6.9,Medium
TK-260078,2025-09-11 13:00:00,51,Basic,Payment,Phone,Busan,72365,70,8,31,3.3,0,6.0,Medium
TK-260079,2026-07-06 01:00:00,50,Gold,Account,Email,Seoul,143423,80,8,76,2.7,0,5.5,Medium
TK-260080,2025-09-21 12:00:00,74,VIP,Payment,Email,Busan,218407,72,4,75,3.6,4,7.8,High
TK-260081,2025-01-14 03:00:00,65,Gold,Payment,App,Busan,109460,1,2,96,3.8,3,5.5,High
TK-260082,2025-03-16 19:00:00,24,Gold,Technical,App,Seoul,142329,49,0,111,4.8,0,9.0,Medium
TK-260083,2025-09-12 13:00:00,20,Gold,Payment,App,Seoul,122352,41,6,30,4.0,1,3.2,Low
TK-260084,2026-06-23 16:00:00,37,Silver,Delivery,Phone,Incheon,84561,65,6,19,4.7,2,8.5,Medium
TK-260085,2025-02-17 02:00:00,40,Gold,Delivery,Phone,Seoul,137133,34,2,51,3.3,0,2.3,Low
TK-260086,2026-05-25 11:00:00,34,Gold,Technical,Phone,Incheon,146280,50,4,111,3.0,0,6.6,Medium
TK-260087,2025-05-06 16:00:00,65,Basic,Cancellation,Email,Seoul,55781,57,8,95,4.5,1,10.9,Medium
TK-260088,2026-06-28 16:00:00,72,Basic,Technical,Chat,Daegu,44420,80,4,72,3.9,0,17.1,Medium
TK-260089,2025-12-11 17:00:00,31,VIP,Delivery,Email,Daejeon,226615,16,5,37,3.0,1,4.4,Low
TK-260090,2025-01-19 05:00:00,25,Silver,Account,Chat,Seoul,82676,56,7,29,3.1,0,9.7,Low
TK-260091,2025-08-29 11:00:00,65,Gold,Account,Chat,Seoul,152134,12,0,59,4.2,1,3.4,Low
TK-260092,2026-05-11 10:00:00,60,Silver,Technical,Email,Seoul,54890,17,6,90,4.0,1,9.9,Low
TK-260093,2026-05-22 11:00:00,41,Gold,Payment,Chat,Busan,121062,38,4,55,2.7,0,4.1,Medium
TK-260094,2025-05-30 19:00:00,71,Gold,Technical,Chat,Seoul,113562,42,6,85,3.9,0,4.0,Medium
TK-260095,2025-01-02 01:00:00,38,Gold,Delivery,Email,Busan,109179,83,3,44,2.7,1,6.7,Medium
TK-260096,2025-06-23 20:00:00,18,Gold,Technical,Email,Seoul,157114,78,5,29,4.3,3,5.6,Medium
TK-260097,2025-04-27 21:00:00,39,Silver,Technical,Chat,Daegu,56691,15,5,81,3.7,1,2.8,Medium
TK-260098,2025-06-16 13:00:00,74,Basic,Payment,Chat,Busan,50621,94,5,2,4.5,3,7.0,Medium
TK-260099,2026-02-23 15:00:00,49,Basic,Payment,Chat,Incheon,27213,54,6,97,3.2,0,3.2,Medium
TK-260100,2025-12-10 04:00:00,19,Silver,Cancellation,Phone,Seoul,93660,42,4,106,3.8,0,2.9,Low
TK-260101,2026-05-22 10:00:00,72,VIP,Payment,Chat,Seoul,194961,62,3,77,2.7,4,7.4,Low
TK-260102,2025-10-25 20:00:00,60,Basic,Cancellation,Phone,Seoul,23656,24,4,60,4.0,0,5.2,Low
TK-260103,2026-07-25 04:00:00,39,Gold,Payment,Phone,Daegu,143848,41,2,67,2.7,0,2.9,Low
TK-260104,2026-04-16 17:00:00,36,Basic,Account,Email,Busan,58879,88,3,23,3.9,4,3.8,High
TK-260105,2025-06-19 04:00:00,26,Basic,Technical,Chat,Daegu,24287,64,3,109,3.7,2,7.1,Medium
TK-260106,2025-03-05 17:00:00,41,Gold,Delivery,Phone,Seoul,149572,92,5,71,3.4,1,2.3,Medium
TK-260107,2026-03-29 21:00:00,45,Basic,Delivery,Chat,Daegu,31900,27,3,46,3.6,0,8.8,Medium
TK-260108,2025-04-25 00:00:00,27,Basic,Cancellation,Phone,Seoul,,14,4,84,2.9,0,13.8,Medium
TK-260109,2026-03-17 03:00:00,18,Basic,Account,Phone,Daegu,34067,59,6,9,3.4,1,2.3,Medium
TK-260110,2026-04-18 13:00:00,40,Basic,Delivery,Phone,Daegu,36121,55,0,110,2.4,0,6.6,Low
TK-260111,2026-05-30 10:00:00,26,VIP,Technical,Email,Daejeon,244020,71,5,60,3.0,0,4.3,Medium
TK-260112,2026-01-31 04:00:00,69,Gold,Technical,Phone,Seoul,138147,28,2,29,3.4,0,3.4,Medium
TK-260113,2025-10-03 15:00:00,20,Silver,Delivery,Chat,Seoul,58820,66,7,51,4.1,4,3.7,Medium
