customer_id,signup_date,age,region,plan_type,monthly_fee,tenure_months,data_usage_gb,support_calls,late_payments,payment_method,device_type,discount_applied,churn
CUS-10001,2023-06-13,59,Incheon,Standard,49908,38,42.1,7,1,Card,iOS,Yes,0
CUS-10002,2024-08-09,47,Daegu,Basic,37842,24,22.1,1,0,BankTransfer,iOS,No,0
CUS-10003,2025-09-27,60,Incheon,Basic,32371,10,28.5,3,0,AutoDebit,iOS,No,0
CUS-10004,2026-03-11,71,Busan,Standard,65875,4,34.0,3,0,AutoDebit,iOS,No,0
CUS-10005,2024-12-30,49,Incheon,Basic,33110,19,22.9,7,2,AutoDebit,iOS,No,0
CUS-10006,2023-09-08,52,Daegu,Basic,205000,35,38.8,5,0,BankTransfer,iOS,No,0
CUS-10007,2024-07-06,47,Busan,Standard,60294,25,63.0,4,1,BankTransfer,Android,No,0
CUS-10008,2024-12-20,57,Seoul,Premium,82522,19,60.3,3,0,MobilePay,Android,Yes,0
CUS-10009,2020-09-09,42,Seoul,Standard,64205,71,43.1,1,1,Card,iOS,No,0
CUS-10010,2024-11-10,63,Busan,Standard,61358,20,44.1,0,1,BankTransfer,Android,Yes,0
CUS-10011,2022-12-15,23,Busan,Basic,32129,44,23.1,1,0,Card,iOS,No,0
CUS-10012,2024-04-14,64,Seoul,Basic,27445,27,27.0,3,0,AutoDebit,iOS,Yes,0
CUS-10013,2021-02-03,45,Busan,Premium,79845,66,82.6,4,3,AutoDebit,Android,Yes,0
CUS-10014,2025-07-18,39,Busan,Basic,28706,12,74.7,3,2,Card,Android,Yes,0
CUS-10015,2026-03-31,56,Busan,Basic,26721,4,39.1,3,1,BankTransfer,iOS,Yes,0
CUS-10016,2020-11-27,69,Seoul,Basic,41295,69,1.0,1,0,BankTransfer,iOS,No,0
CUS-10017,2025-04-14,56,Daejeon,Basic,28934,15,1.0,3,0,Card,Android,No,0
CUS-10018,2022-09-16,72,Seoul,Basic,39228,47,,5,0,MobilePay,iOS,No,0
CUS-10019,2023-12-23,50,Seoul,Standard,62379,31,30.7,3,0,BankTransfer,Android,No,0
CUS-10020,2025-11-11,62,Daejeon,Standard,48680,8,50.3,6,1,MobilePay,Android,No,0
CUS-10021,2022-04-28,63,Daegu,Standard,61630,51,61.1,1,1,BankTransfer,iOS,No,0
CUS-10022,2023-06-02,36,Seoul,Premium,86247,38,77.5,1,1,MobilePay,iOS,Yes,0
CUS-10023,2023-02-25,48,Seoul,Premium,78581,41,86.4,2,0,MobilePay,Android,No,0
CUS-10024,2021-05-10,33,Daegu,Basic,36700,63,17.5,3,2,AutoDebit,Android,Yes,0
CUS-10025,2020-10-22,67,Seoul,Standard,48062,70,,5,1,Card,iOS,No,0
CUS-10026,2024-07-09,72,Busan,Basic,36171,25,13.2,4,0,Card,Android,Yes,0
CUS-10027,2023-07-08,47,Seoul,Standard,59569,37,,0,0,Card,iOS,Yes,0
CUS-10028,2025-12-04,45,Seoul,Basic,36838,7,34.4,1,1,Card,iOS,Yes,0
CUS-10029,2022-05-03,73,Seoul,Basic,38746,51,20.0,8,0,MobilePay,iOS,No,0
CUS-10030,2026-05-24,32,Daegu,Standard,61852,2,43.7,3,0,MobilePay,Android,Yes,0
CUS-10031,2025-09-26,39,Daegu,Basic,36384,10,7.3,2,1,AutoDebit,Android,Yes,0
CUS-10032,2026-03-23,35,Daejeon,Premium,85854,4,102.4,7,1,BankTransfer,Android,No,1
CUS-10033,2023-03-25,27,Daegu,Premium,73333,40,48.2,4,0,BankTransfer,Android,No,0
CUS-10034,2021-09-12,39,Seoul,Basic,29522,59,1.0,8,0,MobilePay,iOS,Yes,0
CUS-10035,2023-01-23,32,Incheon,Premium,89420,42,73.3,3,0,BankTransfer,Android,No,0
