order_id,order_date,distance_km,traffic_index,stop_count,driver_experience_years,region,weather,vehicle_type,service_level,package_type,delivery_fee,departure_hour,delivery_time_min
ORD-20260000,2026-06-13,24.48,32.3,5,4.1,Daegu,clear,motorbike,express,small,7013.0,20,107.2
ORD-20260001,2026-04-18,29.98,74.7,6,0.2,Busan,snow,truck,normal,large,5892.0,6,174.3
ORD-20260002,2026-06-30,20.97,62.9,3,5.5,Seoul,clear,truck,normal,small|fragile,4508.0,10,124.4
ORD-20260003,2026-01-01,10.81,58.6,2,3.9,Seoul,clear,truck,express,medium,5604.0,11,76.9
ORD-20260004,2026-08-06,10.57,34.9,7,2.7,Busan,clear,truck,normal,small,3828.0,9,101.0
ORD-20260005,2026-02-13,32.21,54.8,8,5.3,Busan,cloudy,motorbike,express,small,8404.0,10,129.4
ORD-20260006,2026-01-27,12.65,53.0,4,0.2,Incheon,clear,motorbike,express,small|fragile,6151.0,19,84.7
ORD-20260007,2026-05-28,14.61,57.2,1,4.4,Busan,rain,motorbike,normal,medium|fragile,3711.0,6,97.2
ORD-20260008,2026-07-03,21.87,62.9,5,6.1,Seoul,cloudy,motorbike,normal,small,4997.0,6,112.5
ORD-20260009,2026-05-17,20.43,61.8,3,0.2,Daegu,cloudy,motorbike,express,large,6433.0,12,88.6
ORD-20260010,2026-05-12,25.69,45.0,7,7.1,Daejeon,cloudy,truck,normal,medium|fragile,5459.0,9,137.0
ORD-20260011,2026-08-06,11.65,69.7,4,1.9,Daejeon,cloudy,van,express,small,5657.0,11,80.1
ORD-20260012,2026-07-25,7.07,26.0,5,4.2,Seoul,clear,van,normal,small,2961.0,16,81.0
ORD-20260013,2026-05-01,12.73,17.4,5,4.1,Seoul,clear,van,normal,medium|fragile,4051.0,17,97.7
ORD-20260014,2026-02-25,37.15,45.2,8,3.8,Busan,cloudy,van,same_day,large,8405.0,15,140.4
ORD-20260015,2026-02-19,11.06,47.1,3,3.4,Busan,clear,van,same_day,medium,4635.0,8,90.2
ORD-20260016,2026-07-04,31.59,67.4,2,3.6,Seoul,snow,truck,same_day,small,7583.0,19,149.0
ORD-20260017,2026-04-28,7.56,52.1,7,5.9,Busan,clear,motorbike,express,medium,5757.0,17,79.9
ORD-20260018,2026-05-24,12.1,20.6,3,2.7,Daegu,clear,truck,express,small|fragile,5198.0,6,72.3
ORD-20260019,2026-06-09,9.18,89.1,7,3.5,Daegu,rain,van,normal,medium,4276.0,8,123.2
ORD-20260020,2026-03-06,30.32,84.5,2,3.1,Seoul,cloudy,van,express,small,8975.0,17,151.2
ORD-20260021,2026-04-16,19.12,55.5,5,5.6,Daejeon,snow,van,normal,medium,5355.0,22,112.3
ORD-20260022,2026-07-29,47.13,77.5,5,2.7,Seoul,clear,van,express,large,9169.0,14,189.9
ORD-20260023,2026-07-24,23.35,86.7,5,2.3,Busan,cloudy,van,normal,large,5297.0,8,138.3
ORD-20260024,2026-01-05,22.51,35.7,4,4.0,Seoul,rain,van,express,medium,7628.0,9,115.4
ORD-20260025,2026-06-29,14.42,79.2,4,1.4,Seoul,rain,motorbike,normal,small|fragile,3548.0,15,124.0
ORD-20260026,2026-07-12,25.57,50.1,6,0.3,Daejeon,snow,van,express,medium,7206.0,6,127.7
ORD-20260027,2026-01-02,27.96,50.5,1,4.0,Busan,cloudy,van,express,large,8050.0,11,111.2
ORD-20260028,2026-07-10,7.9,55.3,14,0.8,Daegu,clear,motorbike,normal,large|fragile,4621.0,6,115.9
ORD-20260029,2026-06-24,7.25,65.0,2,5.9,Daejeon,clear,van,express,medium,4982.0,11,68.0
ORD-20260030,2026-07-30,34.12,35.7,5,7.0,Seoul,clear,van,normal,medium|fragile,6063.0,19,150.5
ORD-20260031,2026-03-15,18.84,81.7,3,4.3,Incheon,clear,motorbike,normal,medium,5128.0,16,105.1
ORD-20260032,2026-02-08,17.98,51.9,3,,Daejeon,clear,truck,express,medium|fragile,6324.0,6,76.6
ORD-20260033,2026-01-06,10.37,52.3,8,2.7,Seoul,rain,motorbike,express,large,5563.0,9,104.9
ORD-20260034,2026-03-28,13.23,40.8,6,4.7,Busan,cloudy,truck,normal,small|fragile,4341.0,11,103.2
ORD-20260035,2026-04-11,24.29,57.1,3,5.3,Daegu,rain,motorbike,normal,medium,5258.0,7,119.8
ORD-20260036,2026-05-20,23.85,51.2,5,2.5,Incheon,snow,truck,express,small,7379.0,17,137.8
ORD-20260037,2026-05-07,25.32,68.6,2,2.9,Seoul,rain,van,normal,small|fragile,5573.0,13,135.8
ORD-20260038,2026-02-27,6.63,59.9,7,4.5,Busan,cloudy,truck,normal,large|fragile,4317.0,10,101.9
ORD-20260039,2026-05-07,11.96,45.0,5,7.7,Seoul,cloudy,motorbike,normal,small,3448.0,18,83.2
ORD-20260040,2026-04-15,17.72,77.5,6,4.3,Daegu,cloudy,truck,normal,medium,5685.0,8,123.4
ORD-20260041,2026-06-07,5.4,35.8,5,8.0,Seoul,clear,van,normal,large,3975.0,11,78.5
ORD-20260042,2026-07-26,8.07,63.2,3,3.3,Daegu,cloudy,truck,same_day,large,6574.0,16,67.2
ORD-20260043,2026-01-08,4.81,81.3,6,4.9,Seoul,clear,motorbike,same_day,medium,5048.0,7,73.3
ORD-20260044,2026-06-02,22.03,64.9,2,1.8,Seoul,cloudy,van,normal,small|fragile,5311.0,20,150.5
ORD-20260045,2026-07-19,6.63,52.6,7,1.1,Seoul,clear,truck,same_day,large,5889.0,14,81.5
ORD-20260046,2026-07-13,18.18,76.9,3,5.6,Daegu,cloudy,van,normal,medium,4856.0,16,121.6
ORD-20260047,2026-06-18,28.46,55.4,1,7.2,Incheon,cloudy,van,normal,medium|fragile,5150.0,10,125.8
ORD-20260048,2026-07-16,11.03,63.8,2,3.6,Daegu,rain,van,normal,medium,4151.0,20,107.9
ORD-20260049,2026-02-07,16.41,42.3,5,1.5,Busan,clear,van,normal,small,4021.0,21,89.2
ORD-20260050,2026-04-22,49.22,47.1,7,2.6,Seoul,clear,van,normal,small,7479.0,19,184.5
ORD-20260051,2026-04-13,24.6,69.3,6,4.3,Daegu,cloudy,van,normal,medium|fragile,5720.0,9,138.1
ORD-20260052,2026-08-04,13.96,73.5,8,4.8,Incheon,clear,van,normal,large,,20,136.7
ORD-20260053,2026-02-04,51.12,39.5,4,5.5,Daejeon,clear,van,normal,medium,7876.0,9,173.4
ORD-20260054,2026-04-09,22.79,74.2,7,8.6,Incheon,clear,motorbike,normal,medium,5188.0,22,117.2
ORD-20260055,2026-06-12,19.68,62.3,5,8.6,Seoul,cloudy,van,same_day,small,6219.0,16,83.7
ORD-20260056,2026-04-10,23.77,18.6,6,5.3,Incheon,cloudy,van,express,small|fragile,6918.0,21,93.0
ORD-20260057,2026-03-12,21.37,39.1,10,7.4,Busan,clear,truck,normal,small,6337.0,8,127.5
ORD-20260058,2026-05-27,8.93,69.8,3,2.7,Seoul,clear,truck,normal,medium,2724.0,20,101.1
ORD-20260059,2026-04-30,24.85,40.9,9,1.4,Seoul,cloudy,van,express,medium|fragile,7131.0,22,131.4
ORD-20260060,2026-04-19,25.38,60.6,4,11.8,Busan,clear,truck,express,large,7330.0,19,126.9
ORD-20260061,2026-05-01,76.43,42.0,5,4.5,Busan,snow,van,normal,medium,10308.0,22,255.2
ORD-20260062,2026-06-30,46.44,43.8,8,6.1,Daejeon,cloudy,van,normal,medium,7900.0,13,162.6
ORD-20260063,2026-06-19,4.63,61.1,6,1.8,Busan,clear,van,express,medium,5594.0,12,77.9
ORD-20260064,2026-06-10,6.12,41.1,4,7.4,Daegu,cloudy,motorbike,normal,small,2906.0,6,46.7
ORD-20260065,2026-01-30,23.49,42.0,6,4.6,Seoul,clear,van,same_day,medium,7148.0,22,93.8
ORD-20260066,2026-01-30,20.75,66.8,3,7.9,Daegu,cloudy,truck,same_day,medium,6860.0,11,93.5
ORD-20260067,2026-05-09,14.08,61.2,4,3.0,Seoul,clear,van,normal,medium,,9,110.8
ORD-20260068,2026-05-25,19.66,63.1,0,3.3,Seoul,cloudy,motorbike,normal,small|fragile,3979.0,20,114.1
ORD-20260069,2026-01-17,18.17,73.7,11,0.2,Seoul,clear,motorbike,normal,large,4670.0,15,139.3
ORD-20260070,2026-03-29,49.26,55.0,6,3.8,Seoul,clear,motorbike,normal,medium,8178.0,14,171.9
ORD-20260071,2026-04-19,23.45,65.7,3,5.7,Seoul,clear,van,normal,large,5672.0,7,132.7
ORD-20260072,2026-03-05,31.68,57.9,4,1.4,Daegu,clear,van,normal,small,6216.0,11,133.8
ORD-20260073,2026-07-06,10.95,41.1,5,1.2,Seoul,clear,truck,same_day,small,5683.0,10,69.3
ORD-20260074,2026-01-10,35.02,58.5,8,7.2,Daejeon,cloudy,van,normal,medium,7190.0,10,145.4
ORD-20260075,2026-03-24,12.74,100.0,6,2.0,Busan,clear,motorbike,normal,medium,4197.0,11,114.1
ORD-20260076,2026-06-26,17.33,29.5,5,5.0,Seoul,cloudy,van,same_day,small,6492.0,9,86.8
ORD-20260077,2026-03-28,19.74,62.0,3,4.4,Daegu,cloudy,truck,normal,small|fragile,4845.0,21,107.8
ORD-20260078,2026-07-08,32.57,25.5,5,2.8,Seoul,rain,truck,normal,large|fragile,6140.0,14,147.6
ORD-20260079,2026-08-02,69.14,65.8,5,4.9,Incheon,clear,van,normal,large|fragile,9347.0,6,236.3
ORD-20260080,2026-02-19,19.17,80.5,4,3.4,Seoul,clear,van,normal,small|fragile,4850.0,18,136.6
ORD-20260081,2026-06-17,20.32,46.3,2,7.5,Daegu,clear,truck,normal,medium|fragile,4715.0,18,115.6
ORD-20260082,2026-05-15,39.25,53.5,3,4.7,Busan,rain,van,same_day,medium,8887.0,15,149.4
ORD-20260083,2026-05-26,9.69,72.7,7,7.7,Daejeon,rain,van,normal,medium,4544.0,9,100.4
ORD-20260084,2026-06-28,12.78,62.4,3,1.0,Daegu,cloudy,van,normal,medium|fragile,4363.0,13,96.1
ORD-20260085,2026-03-25,17.35,50.4,6,3.8,Seoul,cloudy,van,normal,medium|fragile,5227.0,21,117.3
ORD-20260086,2026-06-28,8.7,39.0,4,7.8,Busan,cloudy,truck,normal,medium|fragile,3961.0,18,100.2
ORD-20260087,2026-02-04,16.41,28.7,5,2.2,Daegu,snow,truck,normal,small|fragile,4801.0,14,130.0
ORD-20260088,2026-06-14,5.26,46.5,1,2.8,Daejeon,cloudy,van,express,large,5775.0,7,66.5
ORD-20260089,2026-05-09,80.74,53.0,6,8.2,Seoul,clear,truck,normal,small|fragile,10411.0,15,244.0
ORD-20260090,2026-04-10,24.89,15.9,5,2.5,Daegu,clear,motorbike,normal,medium,5773.0,17,108.8
ORD-20260091,2026-03-13,17.01,41.5,3,4.4,Seoul,clear,motorbike,normal,medium,4531.0,6,93.7
ORD-20260092,2026-08-04,15.27,59.3,6,5.7,Daegu,clear,truck,normal,medium,4724.0,16,99.8
ORD-20260093,2026-06-21,13.94,55.8,2,7.8,Seoul,cloudy,van,normal,large,3513.0,9,101.8
ORD-20260094,2026-03-14,25.25,17.9,3,3.3,Seoul,clear,truck,normal,medium|fragile,4356.0,20,112.0
ORD-20260095,2026-04-21,37.46,54.4,4,6.4,Busan,cloudy,van,normal,medium,6202.0,22,141.2
ORD-20260096,2026-01-29,7.13,71.4,6,6.0,Daegu,clear,van,normal,medium,3172.0,7,91.9
ORD-20260097,2026-08-02,7.82,34.1,4,7.1,Daejeon,cloudy,van,normal,large,3810.0,10,77.1
ORD-20260098,2026-01-04,21.62,50.5,7,2.1,Seoul,clear,van,normal,large,5225.0,19,142.2
ORD-20260099,2026-05-22,10.07,65.8,3,,Seoul,clear,motorbike,normal,small,3939.0,11,89.8
ORD-20260100,2026-03-25,19.67,77.7,7,5.2,Seoul,rain,van,same_day,large|fragile,6809.0,16,123.2
ORD-20260101,2026-03-21,56.85,44.0,8,8.1,Seoul,clear,van,normal,small,8672.0,11,193.4
ORD-20260102,2026-04-05,25.61,61.2,5,2.3,Busan,rain,van,normal,small|fragile,5574.0,10,142.0
ORD-20260103,2026-03-10,12.71,72.1,9,3.3,Daegu,clear,van,express,large|fragile,6513.0,11,109.2
ORD-20260104,2026-03-12,43.68,33.5,5,3.7,Busan,clear,van,same_day,medium|fragile,8781.0,13,135.2
ORD-20260105,2026-06-28,17.92,50.9,7,2.9,Busan,rain,motorbike,express,small,7166.0,10,105.1
ORD-20260106,2026-05-20,34.89,53.6,6,6.2,Busan,rain,truck,express,medium,8292.0,20,153.9
ORD-20260107,2026-07-12,9.82,48.4,4,0.9,Busan,rain,truck,normal,medium,3305.0,19,105.8
ORD-20260108,2026-01-04,11.27,50.9,7,6.5,Daegu,clear,truck,express,large|fragile,6009.0,19,96.0
ORD-20260109,2026-04-08,49.29,55.4,4,3.6,Seoul,snow,van,express,medium|fragile,9453.0,13,184.7
ORD-20260110,2026-07-14,25.4,63.3,5,6.4,Daejeon,clear,truck,normal,small,4646.0,8,126.7
ORD-20260111,2026-02-04,3.03,36.6,4,4.8,Seoul,clear,van,normal,small,2739.0,18,53.3
ORD-20260112,2026-03-25,11.05,92.8,2,6.6,Daejeon,rain,van,same_day,small,4882.0,10,88.3
ORD-20260113,2026-07-01,17.8,45.5,4,3.4,Daejeon,rain,van,normal,medium,5173.0,20,113.5
ORD-20260114,2026-05-08,9.98,46.9,1,5.6,Incheon,clear,van,express,medium|fragile,5331.0,10,58.8
ORD-20260115,2026-05-21,16.26,65.0,3,2.0,Daegu,cloudy,truck,normal,small,3847.0,9,112.4
ORD-20260116,2026-05-01,14.32,62.0,3,9.2,Seoul,clear,van,same_day,medium|fragile,6163.0,20,92.9
ORD-20260117,2026-01-10,11.15,59.6,3,1.5,Busan,clear,van,same_day,medium,5735.0,12,80.4
ORD-20260118,2026-08-01,16.28,59.1,8,9.7,Seoul,rain,van,normal,small,5010.0,21,116.6
ORD-20260119,2026-06-01,29.16,72.5,9,0.4,Busan,rain,van,express,small,8166.0,21,160.1
ORD-20260120,2026-03-07,22.21,62.8,9,5.4,Daegu,cloudy,van,normal,large,5147.0,22,134.3
ORD-20260121,2026-02-15,51.89,46.4,1,5.3,Busan,rain,van,same_day,medium,9712.0,17,167.6
ORD-20260122,2026-06-02,21.71,34.8,4,4.4,Daegu,clear,motorbike,express,medium,6366.0,20,89.5
ORD-20260123,2026-03-27,20.44,66.8,6,4.9,Daejeon,rain,truck,express,small|fragile,6779.0,7,124.8
ORD-20260124,2026-07-17,18.06,25.8,6,1.0,Busan,clear,motorbike,normal,medium,4081.0,20,110.6
ORD-20260125,2026-07-22,45.06,60.7,6,8.0,Daejeon,cloudy,van,normal,large,6868.0,17,179.7
ORD-20260126,2026-03-03,24.67,26.6,5,5.5,Daejeon,cloudy,van,same_day,small,,12,92.5
ORD-20260127,2026-02-02,24.03,73.3,6,1.9,Daegu,rain,van,normal,small,4565.0,18,137.7
ORD-20260128,2026-02-17,20.51,76.8,2,5.3,Daejeon,cloudy,motorbike,normal,small,5201.0,21,107.1
ORD-20260129,2026-04-03,23.2,39.7,3,1.9,Busan,clear,truck,normal,medium|fragile,5138.0,16,112.4
ORD-20260130,2026-05-28,16.34,68.7,3,4.3,Incheon,rain,motorbike,normal,medium|fragile,3634.0,7,111.8
ORD-20260131,2026-07-18,19.56,34.1,4,3.0,Busan,clear,van,normal,large,4387.0,17,120.9
ORD-20260132,2026-06-15,23.99,87.9,3,3.7,Daegu,clear,motorbike,normal,small,4654.0,12,117.8
ORD-20260133,2026-06-29,11.59,38.6,3,0.7,Busan,rain,motorbike,normal,medium,4821.0,18,106.7
ORD-20260134,2026-03-23,13.4,78.5,5,3.1,Daegu,clear,truck,express,medium|fragile,6899.0,12,87.9
ORD-20260135,2026-05-10,19.37,49.2,8,0.4,Incheon,clear,truck,same_day,small|fragile,7570.0,12,109.2
ORD-20260136,2026-05-27,14.98,56.8,5,9.0,Daejeon,clear,van,normal,large,3479.0,19,106.5
ORD-20260137,2026-06-15,13.85,52.7,4,4.1,Daejeon,rain,truck,normal,large|fragile,3872.0,20,118.9
ORD-20260138,2026-04-12,25.07,49.6,3,1.1,Daejeon,snow,truck,express,medium|fragile,6487.0,6,128.7
ORD-20260139,2026-05-05,23.74,47.4,5,,Daegu,clear,truck,normal,medium,5525.0,12,111.1
ORD-20260140,2026-07-19,21.28,45.5,4,5.1,Seoul,clear,van,express,small,6671.0,10,91.6
ORD-20260141,2026-02-09,18.8,44.5,5,8.6,Incheon,cloudy,van,normal,medium,5382.0,18,106.4
ORD-20260142,2026-07-29,20.29,51.4,1,4.1,Seoul,clear,van,normal,medium,4797.0,13,98.4
ORD-20260143,2026-07-05,21.26,39.3,4,5.5,Busan,snow,van,normal,small,4877.0,17,129.2
ORD-20260144,2026-07-23,12.73,61.9,4,7.2,Daejeon,cloudy,van,express,medium,5554.0,8,95.4
ORD-20260145,2026-06-28,17.46,100.0,3,5.3,Seoul,clear,van,normal,medium,4141.0,21,127.8
ORD-20260146,2026-08-03,33.87,28.4,6,4.7,Daejeon,clear,van,normal,small,6158.0,13,124.5
ORD-20260147,2026-06-05,21.5,36.4,3,4.5,Daegu,cloudy,truck,normal,medium|fragile,4467.0,16,113.5
ORD-20260148,2026-01-19,9.87,76.7,5,4.8,Seoul,clear,truck,normal,medium,4615.0,17,109.3
ORD-20260149,2026-07-01,22.18,51.0,5,5.7,Daejeon,cloudy,truck,normal,small,5308.0,21,113.1
ORD-20260150,2026-05-09,22.3,63.5,7,4.2,Seoul,clear,van,same_day,small,6541.0,18,123.9
ORD-20260151,2026-04-14,26.0,27.1,4,7.7,Seoul,rain,van,normal,medium,5304.0,10,122.1
ORD-20260152,2026-05-06,52.45,45.0,4,6.9,Incheon,clear,truck,normal,medium|fragile,,7,188.2
ORD-20260153,2026-01-22,12.62,12.1,5,2.7,Seoul,clear,van,express,small,5514.0,13,62.7
ORD-20260154,2026-02-25,28.26,48.2,8,3.4,Busan,clear,motorbike,normal,large,6149.0,9,145.8
ORD-20260155,2026-03-11,20.41,78.8,7,1.6,Seoul,clear,motorbike,normal,large,5560.0,14,126.5
ORD-20260156,2026-03-23,3.93,62.8,6,4.0,Seoul,rain,van,express,small,5471.0,15,81.2
ORD-20260157,2026-06-14,28.9,83.9,5,6.9,Busan,cloudy,van,same_day,medium|fragile,7435.0,22,124.8
ORD-20260158,2026-06-26,4.09,18.4,6,,Seoul,clear,truck,express,large,5386.0,10,57.4
ORD-20260159,2026-02-13,50.5,89.9,4,0.6,Seoul,clear,van,same_day,small|fragile,8896.0,8,186.3
ORD-20260160,2026-04-06,15.12,52.2,3,5.6,Busan,clear,van,normal,medium,4420.0,19,108.7
ORD-20260161,2026-05-16,16.85,73.0,6,3.8,Daegu,cloudy,van,same_day,small,6631.0,18,114.4
ORD-20260162,2026-06-28,13.11,65.3,8,0.2,Seoul,snow,van,normal,small,4499.0,21,129.9
ORD-20260163,2026-04-25,35.75,51.8,3,7.0,Daegu,clear,motorbike,express,small,8262.0,10,111.2
ORD-20260164,2026-07-30,8.31,43.3,5,2.6,Daejeon,clear,motorbike,normal,large,4679.0,8,96.8
ORD-20260165,2026-07-27,50.46,39.9,7,4.8,Busan,cloudy,motorbike,normal,medium,7915.0,14,167.7
ORD-20260166,2026-02-08,15.93,47.3,4,1.7,Daegu,clear,van,same_day,medium,6597.0,8,82.0
ORD-20260167,2026-06-26,42.24,34.3,7,3.8,Busan,clear,truck,same_day,large,9062.0,20,168.3
ORD-20260168,2026-01-11,14.71,75.8,2,6.5,Busan,clear,truck,normal,large,4600.0,17,113.7
ORD-20260169,2026-03-14,22.27,49.7,5,1.5,Daegu,clear,truck,normal,medium|fragile,4740.0,11,112.1
ORD-20260170,2026-03-16,52.22,69.6,5,0.2,Seoul,rain,van,normal,large,8235.0,9,214.7
ORD-20260171,2026-05-12,35.94,64.9,2,4.9,Seoul,cloudy,motorbike,express,medium,8496.0,12,129.6
ORD-20260172,2026-01-07,9.59,31.1,8,2.2,Daejeon,clear,van,express,large,5991.0,15,73.8
ORD-20260173,2026-04-19,27.23,57.5,7,6.0,Seoul,cloudy,truck,normal,medium|fragile,5335.0,10,153.4
ORD-20260174,2026-03-31,22.18,37.5,6,2.5,Daejeon,clear,truck,same_day,large,7379.0,13,97.1
ORD-20260175,2026-04-16,5.68,56.7,8,10.4,Seoul,cloudy,van,normal,medium,4265.0,6,70.9
ORD-20260176,2026-02-26,14.56,60.7,1,4.7,Seoul,cloudy,motorbike,express,medium,5619.0,11,81.6
ORD-20260177,2026-05-27,18.07,61.5,3,8.9,Seoul,rain,van,express,large|fragile,5976.0,21,111.9
ORD-20260178,2026-02-04,23.44,25.7,5,0.2,Incheon,clear,van,normal,medium,5112.0,20,115.5
ORD-20260179,2026-06-18,7.36,47.4,8,4.8,Daejeon,snow,van,express,small,5470.0,6,90.4
ORD-20260180,2026-05-28,21.87,48.1,4,7.4,Seoul,cloudy,truck,normal,medium|fragile,4858.0,11,126.2
ORD-20260181,2026-07-12,12.9,67.1,5,2.5,Seoul,clear,van,normal,medium,4201.0,17,114.9
ORD-20260182,2026-01-05,41.63,82.5,3,7.1,Daegu,clear,motorbike,normal,medium,6703.0,7,165.7
ORD-20260183,2026-07-23,22.13,33.0,4,4.8,Busan,rain,truck,normal,medium|fragile,5515.0,15,119.4
