customer_id,signup_date,age,gender,region,plan_type,monthly_fee,usage_hours,support_calls,late_payments,contract_months,device_type,payment_method,satisfaction_score,churn
CUST-00001,2026-02-07,53.0,Female,Daejeon,Standard,85414.0,4.0,3.0,1,12,Android,VirtualAccount,3.0,1
CUST-00002,2024-05-17,39.0,Male,Seoul,Basic,69137.0,24.2,3.0,0,24,Android,Mobile,5.0,0
CUST-00003,2023-05-01,51.0,Female,Busan,Standard,44323.0,51.4,1.0,0,12,iOS,Card,2.0,0
CUST-00004,2024-01-18,65.0,Female,Daegu,Standard,67657.0,82.3,2.0,0,24,iOS,Mobile,5.0,0
CUST-00005,2025-10-07,18.0,Female,Busan,Basic,65210.0,58.2,2.0,0,6,Android,Card,3.0,0
CUST-00006,2025-04-25,36.0,Female,Seoul,Premium,64762.0,19.2,1.0,0,12,iOS,Card,4.0,0
CUST-00007,2024-05-12,56.0,Male,Incheon,Basic,69811.0,71.5,2.0,1,24,Android,Mobile,3.0,0
CUST-00008,2023-07-17,35.0,Male,Seoul,Standard,28611.0,50.8,1.0,1,12,iOS,BankTransfer,3.0,0
CUST-00009,2024-02-25,51.0,Female,Daejeon,Standard,64620.0,62.0,3.0,1,12,Android,Mobile,3.0,0
CUST-00010,2025-09-17,43.0,Male,Daegu,Standard,56987.0,7.6,3.0,0,6,Android,VirtualAccount,4.0,0
CUST-00011,2024-05-27,39.0,Female,Seoul,Premium,93508.0,47.3,3.0,0,12,iOS,Mobile,5.0,0
CUST-00012,2023-04-28,45.0,Female,Seoul,Standard,67303.0,56.1,3.0,0,24,Android,BankTransfer,2.0,0
CUST-00013,2023-11-17,64.0,Female,Busan,Standard,65475.0,10.5,1.0,2,24,iOS,Mobile,2.0,0
CUST-00014,2024-04-04,24.0,Male,Seoul,Basic,87250.0,32.2,4.0,0,12,iOS,Mobile,2.0,1
CUST-00015,2023-01-16,18.0,Male,Daegu,Standard,68356.0,43.1,4.0,0,24,iOS,BankTransfer,3.0,0
CUST-00016,2023-03-21,18.0,Female,Daegu,Premium,65621.0,17.0,2.0,0,12,iOS,Card,1.0,1
CUST-00017,2025-01-30,65.0,Female,Seoul,Premium,101089.0,45.6,3.0,1,24,Web,Card,4.0,0
CUST-00018,2026-04-20,68.0,Male,Incheon,Premium,60572.0,6.7,1.0,2,24,Android,VirtualAccount,4.0,0
CUST-00019,2024-06-16,35.0,Male,Daejeon,Standard,46343.0,43.7,1.0,1,12,Android,Card,5.0,0
CUST-00020,2024-03-16,47.0,Male,Busan,Premium,30325.0,321.0,7.0,1,24,Android,Mobile,5.0,0
CUST-00021,2024-09-21,48.0,Female,Daegu,Standard,45117.0,29.4,1.0,0,6,Android,BankTransfer,1.0,0
CUST-00022,2024-11-12,73.0,Female,Daejeon,Basic,53021.0,78.2,4.0,1,12,Web,VirtualAccount,3.0,0
CUST-00023,2023-03-02,25.0,Male,Seoul,Basic,60838.0,27.9,3.0,2,12,Android,Mobile,5.0,0
CUST-00024,2026-01-12,59.0,Male,Daegu,Standard,52922.0,75.0,3.0,1,3,Android,VirtualAccount,4.0,0
CUST-00025,2024-02-25,51.0,Female,Daejeon,Standard,80766.0,37.2,1.0,1,6,Web,VirtualAccount,3.0,0
CUST-00026,2024-12-13,24.0,Female,Busan,Standard,58594.0,25.9,2.0,1,12,Android,BankTransfer,5.0,0
CUST-00027,2023-10-18,24.0,Female,Incheon,Standard,63554.0,45.7,0.0,1,3,iOS,BankTransfer,1.0,0
CUST-00028,2023-11-29,35.0,Male,Daejeon,Standard,101198.0,41.5,3.0,1,12,Android,VirtualAccount,2.0,1
CUST-00029,2023-05-10,18.0,Male,Busan,Standard,79233.0,7.8,2.0,1,6,iOS,Card,2.0,1
