customer_id,order_datetime,age,region,channel,membership_level,visit_count,session_time_min,cart_value,discount_pct,payment_method,campaign,order_amount
C00001,2026-06-13 09:00:00,48,Gwangju,web,silver,8,18.9,182.3,20,card,none,194.3
C00002,2026-01-07 16:00:00,52,Daegu,web,silver,9,26.6,72.5,15,card,summer,114.2
C00003,2026-03-29 12:00:00,55,Daegu,app,silver,16,15.4,123.1,0,card,summer,150.6
C00004,2026-04-07 09:00:00,31,Busan,store,basic,1,12.8,34.8,15,mobile,none,47.0
C00005,2026-03-16 09:00:00,53,Busan,app,basic,1,11.4,141.1,5,mobile,none,163.9
C00006,2026-06-05 18:00:00,32,Gwangju,web,silver,11,27.0,129.3,20,card,none,172.4
C00007,2026-01-09 20:00:00,35,Daegu,web,silver,10,21.1,216.4,20,transfer,vip,219.0
C00008,2026-02-05 11:00:00,33,Daejeon,app,basic,7,8.3,104.0,15,,none,106.5
C00009,2026-01-24 20:00:00,44,Gwangju,web,basic,8,8.4,43.9,10,mobile,vip,36.5
C00010,2026-08-09 08:00:00,33,Daegu,web,basic,7,13.9,165.0,20,card,none,144.1
C00011,2026-07-04 22:00:00,32,Daegu,store,silver,1,17.6,48.0,0,card,none,105.3
C00012,2026-07-19 22:00:00,24,Daegu,web,basic,7,17.0,100.7,5,,vip,124.6
C00013,2026-01-22 19:00:00,34,Daejeon,store,basic,8,,23.4,0,mobile,vip,77.7
C00014,2026-05-19 20:00:00,42,Daegu,app,gold,7,12.3,45.7,20,transfer,none,142.6
C00015,2026-02-27 09:00:00,30,Seoul,web,basic,12,17.6,138.6,0,card,vip,175.4
C00016,2026-06-21 15:00:00,42,Busan,app,silver,8,20.6,162.4,10,card,none,187.2
C00017,2026-06-18 14:00:00,31,Seoul,web,basic,11,18.5,92.9,20,transfer,summer,120.1
C00018,2026-05-18 15:00:00,43,Daejeon,store,basic,9,20.4,9.9,0,mobile,vip,85.0
C00019,2026-08-03 08:00:00,65,Daejeon,web,gold,6,19.5,81.4,10,card,none,145.7
C00020,2026-07-20 20:00:00,39,Daejeon,web,basic,3,19.0,256.9,15,card,vip,217.7
C00021,2026-05-29 19:00:00,19,Gwangju,web,basic,6,25.7,127.4,15,mobile,none,145.5
C00022,2026-06-22 21:00:00,53,Seoul,store,basic,8,20.5,132.8,15,mobile,summer,154.5
C00023,2026-05-14 13:00:00,46,Busan,store,silver,6,15.9,,10,transfer,none,122.8
C00024,2026-04-28 17:00:00,34,Busan,app,gold,21,16.8,134.8,5,card,none,221.2
C00025,2026-02-10 15:00:00,48,Gwangju,web,silver,2,1.2,13.5,20,mobile,none,19.6
C00026,2026-02-04 12:00:00,18,Busan,store,basic,9,19.2,68.8,15,mobile,summer,108.6
C00027,2026-03-09 16:00:00,18,Daegu,web,basic,8,18.7,87.6,10,card,summer,109.7
C00028,2026-05-22 19:00:00,58,,web,gold,7,17.4,193.5,0,mobile,summer,241.2
C00029,2026-04-21 10:00:00,50,Daegu,web,silver,8,34.1,52.6,0,mobile,none,121.1
C00030,2026-04-15 17:00:00,18,Daejeon,web,basic,7,1.0,107.4,0,transfer,summer,128.8
C00031,2026-04-16 20:00:00,29,Seoul,app,gold,2,17.0,133.3,20,transfer,none,170.1
C00032,2026-03-20 21:00:00,26,Daegu,web,gold,8,12.2,136.1,5,transfer,none,180.1
C00033,2026-05-11 14:00:00,29,Busan,store,gold,1,16.2,114.9,5,transfer,none,157.4
C00034,2026-07-21 13:00:00,32,Daegu,web,silver,1,24.8,181.9,0,card,none,214.6
C00035,2026-07-26 16:00:00,27,Seoul,store,gold,1,16.6,73.3,10,mobile,none,143.0
C00036,2026-03-18 16:00:00,23,Busan,app,silver,6,23.7,72.1,0,transfer,summer,135.5
C00037,2026-02-14 17:00:00,,Daejeon,store,silver,6,20.0,69.7,0,transfer,none,124.5
C00038,2026-05-02 20:00:00,41,Gwangju,app,basic,13,9.7,114.8,15,card,summer,146.9
C00039,2026-02-27 20:00:00,39,Daejeon,app,gold,8,17.3,159.5,0,mobile,none,208.4
C00040,2026-03-04 10:00:00,25,Daejeon,web,basic,7,16.4,105.5,0,mobile,none,107.4
C00041,2026-01-13 16:00:00,39,Gwangju,store,silver,15,4.9,128.3,20,transfer,summer,168.8
C00042,2026-08-01 22:00:00,25,Busan,store,basic,1,12.6,102.8,5,mobile,none,110.7
C00043,2026-03-03 12:00:00,21,Seoul,web,basic,10,17.6,148.2,15,transfer,summer,156.8
C00044,2026-04-15 13:00:00,34,,store,basic,4,15.1,118.4,15,card,vip,150.6
C00045,2026-03-18 20:00:00,19,Gwangju,store,gold,13,21.5,53.8,20,transfer,none,133.3
C00046,2026-03-28 18:00:00,40,Gwangju,store,basic,6,,132.4,0,transfer,summer,174.3
