shipment_id,order_date,distance_km,weight_kg,traffic_level,weather,vehicle_type,priority,driver_experience_years,warehouse_wait_min,package_type,temperature_c,delivery_time_min
SHP00001,2026-05-24,23.9,5.0,high,clear,car,normal,5.5,22.5,fragile,1.2,94.4
SHP00002,2026-07-06,122.1,10.8,high,clear,car,express,0,12.6,large,28.4,166.0
SHP00003,2026-07-03,40.5,8.3,high,clear,van,normal,5.1,8.8,large,18.6,104.6
SHP00004,2026-06-08,100.2,7.2,medium,clear,van,express,8.7,22.8,large,1.7,144.2
SHP00005,2026-07-05,87.5,14.8,medium,clear,car,express,7.7,87.6,small,2.3,178.2
SHP00006,2026-05-20,89.1,8.5,medium,snow,van,normal,6.2,8.2,,-2.8,155.8
SHP00007,2026-05-18,139.6,9.7,medium,clear,car,normal,,14.4,medium,9.1,154.4
SHP00008,2026-08-02,152.6,7.7,high,clear,bike,normal,6.3,21.3,large,20.5,219.4
SHP00009,2026-06-24,3.0,0.3,medium,clear,car,normal,2.8,17.5,medium,28.3,44.6
SHP00010,2026-08-10,28.9,12.6,high,rain,car,normal,9.6,27.7,large,23.5,101.9
SHP00011,2026-07-07,28.9,11.4,low,clear,van,normal,12.1,21.8,medium,9.9,60.5
SHP00012,2026-05-12,109.3,15.9,medium,clear,car,express,2.9,19.3,fragile,25.9,139.3
SHP00013,2026-05-06,102.6,6.7,medium,clear,car,express,5.6,30.8,medium,21.6,140.8
SHP00014,2026-08-08,149.7,9.5,low,rain,van,same_day,1.0,23.1,fragile,0.4,166.7
SHP00015,2026-06-16,155.4,,high,clear,car,normal,3.2,12.6,medium,30.2,218.7
SHP00016,2026-05-25,118.9,9.1,medium,clear,bike,normal,6.0,20.5,large,8.3,179.6
SHP00017,2026-05-17,42.9,7.5,medium,clear,van,normal,2.4,1.7,medium,19.1,95.8
SHP00018,2026-06-30,12.9,1.5,medium,clear,car,same_day,1.4,13.4,,20.8,57.0
SHP00019,2026-07-06,103.3,9.1,high,snow,car,normal,6.6,26.5,small,16.6,167.6
SHP00020,2026-06-01,83.8,7.6,medium,clear,car,express,0,13.6,,19.7,113.1
SHP00021,2026-08-03,168.0,6.1,high,clear,bike,express,1.2,37.0,fragile,11.1,234.6
SHP00022,2026-05-12,89.7,13.1,low,clear,bike,normal,,17.2,medium,-1.7,130.3
SHP00023,2026-06-06,39.3,8.8,low,rain,car,express,6.8,29.6,large,30.9,95.6
SHP00024,2026-05-08,44.9,9.3,medium,clear,van,normal,3.0,6.2,fragile,7.2,91.4
SHP00025,2026-06-15,43.6,3.4,medium,clear,bike,normal,5.4,9.8,medium,5.3,73.0
SHP00026,2026-06-06,146.6,4.7,high,rain,car,normal,5.1,22.2,medium,-2.2,209.2
SHP00027,2026-06-19,178.9,9.5,high,clear,car,normal,10.0,16.6,large,24.2,218.5
SHP00028,2026-08-06,152.5,17.8,medium,snow,van,normal,7.5,21.7,fragile,21.3,211.8
SHP00029,2026-08-12,55.8,0.3,medium,rain,bike,normal,9.0,18.2,medium,6.4,102.6
SHP00030,2026-06-15,122.7,3.9,medium,clear,car,normal,4.0,12.3,small,24.7,160.1
SHP00031,2026-06-11,102.1,2.9,medium,clear,bike,normal,,19.1,fragile,11.7,155.8
SHP00032,2026-05-27,14.5,4.7,high,clear,van,normal,6.2,28.7,fragile,19.1,105.8
SHP00033,2026-05-21,31.2,9.1,medium,snow,van,normal,4.7,25.1,small,11.7,120.3
SHP00034,2026-05-29,62.3,2.8,medium,clear,car,normal,0,24.4,medium,19.2,108.5
SHP00035,2026-05-08,75.7,15.0,low,clear,van,normal,5.9,27.6,medium,19.8,104.0
SHP00036,2026-05-04,123.2,,medium,snow,car,normal,5.3,24.8,medium,-0.1,187.1
SHP00037,2026-05-30,96.1,6.8,low,snow,car,normal,5.4,28.4,fragile,18.5,156.1
SHP00038,2026-06-27,115.5,1.5,medium,clear,car,normal,8.9,16.4,small,7.8,127.4
SHP00039,2026-06-23,33.2,12.4,medium,clear,car,same_day,0,22.9,medium,31.8,77.7
SHP00040,2026-07-04,33.7,4.6,low,clear,car,normal,7.1,9.9,small,16.6,59.1
SHP00041,2026-08-07,27.8,11.4,medium,clear,car,normal,5.1,19.4,fragile,22.4,100.6
SHP00042,2026-05-01,10.0,6.5,medium,clear,car,normal,1.5,4.6,fragile,7.5,54.0
SHP00043,2026-05-06,60.9,6.4,low,clear,car,express,6.7,1.7,fragile,5.6,50.8
SHP00044,2026-06-13,158.9,12.4,low,clear,car,normal,1.6,14.5,small,25.5,171.7
SHP00045,2026-08-09,77.6,10.5,low,clear,car,normal,7.5,17.5,medium,29.7,111.7
SHP00046,2026-08-08,84.2,0.3,medium,rain,car,express,1.0,17.6,medium,28.1,111.8
SHP00047,2026-08-06,101.9,10.4,medium,,car,normal,7.6,33.5,large,22.8,174.8
SHP00048,2026-05-12,161.9,8.3,medium,rain,van,express,6.0,32.3,small,3.3,188.4
SHP00049,2026-05-20,138.1,13.0,high,clear,car,normal,1.8,36.0,large,16.7,210.8
SHP00050,2026-07-07,145.9,12.5,low,clear,car,same_day,2.6,23.6,small,1.4,134.1
SHP00051,2026-05-05,23.5,15.0,medium,clear,car,normal,2.6,21.6,small,19.8,81.9
SHP00052,2026-08-02,22.8,13.9,low,clear,bike,express,0.7,1.3,medium,12.7,49.9
