customer_id,age,gender,region,plan_type,contract_type,payment_method,signup_date,tenure_months,monthly_fee,support_calls,late_payments,avg_weekly_hours,auto_payment,churn
C100133,24.0,Male,Seoul,Basic,Monthly,Virtual account,2025-03-30,9.0,15.3,3.0,0.0,6.7,No,0
C100325,47.0,Male,Gwangju,Basic,Monthly,Virtual account,2024-08-29,16.0,26.4,3.0,0.0,2.2,No,1
C100027,53.0,Female,Daegu,Premium,One-year,Card,2025-11-04,1.0,79.3,1.0,2.0,6.8,No,0
C100079,22.0,Female,Busan,Premium,Two-year,Virtual account,2025-12-15,1.0,70.2,1.0,0.0,3.7,Yes,0
C100355,23.0,Female,Daejeon,Basic,Monthly,Card,2023-10-26,26.0,25.7,1.0,1.0,2.0,No,0
C100318,25.0,Male,Busan,Basic,Monthly,Card,2024-03-19,21.0,26.8,3.0,1.0,1.2,Yes,1
C100047,34.0,Female,Gwangju,Basic,Monthly,Mobile,2022-11-27,37.0,23.4,1.0,0.0,6.0,Yes,0
C100499,42.0,Female,Daegu,Premium,Monthly,Bank transfer,2023-12-10,24.0,84.4,1.0,0.0,8.5,Yes,0
C100295,34.0,Male,Seoul,Standard,Monthly,Card,2022-02-02,46.0,49.7,2.0,0.0,10.4,Yes,0
C100372,30.0,Female,Seoul,Premium,Monthly,Mobile,2024-12-20,12.0,76.5,0.0,0.0,3.7,No,0
C100183,66.0,Female,Daegu,Premium,Monthly,Virtual account,2025-12-26,1.0,91.8,3.0,1.0,1.7,Yes,0
C100433,40.0,Female,Daejeon,Basic,Monthly,Mobile,2024-05-20,19.0,,1.0,0.0,4.6,Yes,0
C100329,44.0,Male,Daejeon,Basic,Monthly,Mobile,2022-01-31,47.0,21.1,2.0,0.0,5.7,Yes,0
C100563,33.0,Female,Seoul,Standard,Monthly,Card,2022-02-28,46.0,42.5,2.0,1.0,7.7,Yes,0
C100567,44.0,Female,Seoul,Standard,Monthly,Bank transfer,2022-10-10,38.0,50.0,2.0,2.0,2.3,No,0
C100115,30.0,Male,Busan,Premium,Monthly,Mobile,2022-11-21,37.0,72.5,1.0,1.0,10.8,Yes,0
C100209,36.0,Male,Daejeon,Premium,Two-year,Mobile,2023-07-02,30.0,77.4,0.0,0.0,4.9,Yes,0
C100235,29.0,Female,Seoul,Basic,One-year,Card,2024-05-18,19.0,29.9,3.0,0.0,2.3,No,0
C100596,42.0,Female,Seoul,Standard,Two-year,Bank transfer,2023-03-29,33.0,44.9,1.0,0.0,2.1,Yes,0
C100541,32.0,Male,Busan,Basic,One-year,Bank transfer,2024-06-13,18.0,28.7,0.0,0.0,3.1,Yes,0
C100232,68.0,Female,Gwangju,Premium,Two-year,Card,2024-11-30,13.0,72.8,1.0,1.0,5.9,Yes,0
C100262,33.0,Female,Busan,Premium,One-year,Mobile,2025-07-01,6.0,73.9,1.0,0.0,13.9,Yes,0
C100121,56.0,Female,Daegu,Basic,Monthly,Card,2023-12-26,24.0,31.4,2.0,0.0,9.2,No,1
C100403,35.0,Male,Gwangju,Standard,Monthly,Bank transfer,2023-08-30,28.0,46.8,0.0,1.0,1.4,No,0
C100191,46.0,Female,Busan,Standard,Two-year,Mobile,2022-03-04,45.0,50.5,1.0,0.0,0.6,Yes,0
C100248,50.0,Female,Seoul,Premium,Monthly,Virtual account,2023-02-07,34.0,83.3,1.0,0.0,3.7,No,0
C100258,36.0,Female,Seoul,Basic,Monthly,Mobile,2025-03-25,9.0,30.8,1.0,0.0,4.2,Yes,0
C100048,39.0,Female,Seoul,Standard,Monthly,Card,2022-01-10,47.0,45.1,0.0,0.0,2.4,No,0
C100008,19.0,Male,Busan,Basic,One-year,Mobile,2023-01-08,35.0,25.7,2.0,2.0,0.8,Yes,0
C100366,19.0,Male,Daegu,Standard,Two-year,Bank transfer,2022-01-31,47.0,38.5,1.0,1.0,2.6,Yes,0
C100525,46.0,Female,Daegu,Standard,One-year,Card,2023-02-23,34.0,41.7,2.0,0.0,6.8,Yes,0
C100555,30.0,Female,Busan,Basic,Monthly,Card,2022-12-28,36.0,16.8,2.0,1.0,2.4,Yes,0
C100308,43.0,Male,Daejeon,Standard,Monthly,Bank transfer,2023-06-03,30.0,46.4,1.0,0.0,3.5,Yes,1
C100211,29.0,Male,Gwangju,Basic,Monthly,Card,2022-07-16,41.0,25.3,2.0,0.0,3.6,Yes,0
C100549,43.0,Male,Seoul,Basic,One-year,Bank transfer,2023-09-26,27.0,19.9,4.0,0.0,2.9,Yes,0
C100203,40.0,Male,Seoul,Standard,One-year,Bank transfer,2023-08-24,28.0,47.1,1.0,1.0,0.2,No,1
C100244,43.0,Female,,Standard,Monthly,Mobile,2023-07-18,29.0,43.9,1.0,0.0,5.2,No,0
C100420,30.0,Male,Seoul,Standard,Monthly,Bank transfer,2022-08-10,40.0,41.2,1.0,1.0,3.8,Yes,0
C100557,57.0,Female,Seoul,Standard,Monthly,Card,2023-10-29,26.0,,2.0,2.0,1.5,Yes,0
C100569,38.0,Female,Busan,Premium,Monthly,Bank transfer,2025-07-14,5.0,77.3,2.0,2.0,2.3,Yes,1
C100500,30.0,Male,Busan,Basic,Monthly,Mobile,2024-01-29,23.0,16.7,1.0,0.0,10.2,Yes,0
C100093,52.0,Male,Busan,Basic,Monthly,Card,2022-12-14,36.0,31.9,0.0,0.0,6.1,Yes,0
C100501,34.0,Female,Daegu,Basic,One-year,Mobile,2024-10-30,14.0,26.0,1.0,1.0,1.2,No,1
C100430,60.0,Female,Daegu,Standard,One-year,Virtual account,2022-03-06,45.0,41.0,3.0,1.0,9.0,No,0
C100491,31.0,Female,Seoul,Premium,One-year,Bank transfer,2025-11-19,1.0,85.0,0.0,2.0,6.6,Yes,0
C100428,54.0,Male,Daegu,Basic,Monthly,Card,2025-12-14,1.0,31.4,3.0,0.0,2.4,No,1
C100313,27.0,Female,Daegu,Standard,Monthly,Bank transfer,2025-04-09,8.0,51.2,0.0,1.0,2.4,Yes,0
C100471,42.0,Female,Daejeon,Basic,Monthly,Mobile,2025-09-18,3.0,25.6,4.0,0.0,0.8,No,1
C100007,39.0,Male,Seoul,Premium,Two-year,Card,2023-06-22,30.0,77.9,2.0,0.0,6.3,Yes,0
C100474,46.0,Male,Daegu,Basic,One-year,Bank transfer,2023-12-08,24.0,19.6,1.0,0.0,6.8,Yes,0
C100236,50.0,Female,Daejeon,Standard,One-year,Card,2023-09-06,27.0,40.0,2.0,0.0,1.4,Yes,0
C100571,56.0,Female,Busan,Basic,Monthly,Bank transfer,2023-03-01,34.0,38.0,3.0,1.0,1.5,Yes,0
