customer_id,age,gender,membership,monthly_spend,visit_count,satisfaction,support_calls,region,churn
C001,27,Male,Standard,49.4,5,1,5,Seoul,Yes
C002,47,Male,Basic,46.2,17,5,0,Busan,No
C003,46,Male,Standard,53.4,1,2,5,Incheon,Yes
C004,37,Male,Basic,111.6,4,1,3,Seoul,Yes
C005,,Female,Premium,107.6,18,1,3,Seoul,Yes
C006,38,Female,Standard,104.5,2,2,2,Seoul,Yes
C007,26,Female,Basic,96.3,12,2,2,Daegu,Yes
C008,37,Male,Standard,40.5,8,2,3,Incheon,Yes
C009,55,Male,Standard,121.1,2,2,0,Daegu,Yes
C010,37,Male,Basic,133.1,11,2,5,Incheon,Yes
C011,49,Male,Basic,49.6,18,5,2,Incheon,No
C012,45,Female,Basic,,17,4,0,Seoul,No
C013,29,Male,Standard,70.7,3,4,3,Incheon,Yes
C014,36,Male,Standard,33.7,18,3,5,Daegu,No
C015,38,Female,Basic,20.4,9,5,1,Seoul,No
C016,52,Male,Basic,111.5,18,5,0,Daegu,No
C017,21,Male,Premium,125.4,10,2,0,Busan,No
C018,25,Male,Standard,117.9,18,,1,Incheon,Yes
C019,30,Female,Standard,92.8,7,5,5,Busan,No
C020,45,Female,Standard,82.1,4,2,1,Seoul,Yes
C021,21,Male,Standard,20.9,2,2,0,Seoul,Yes
C022,24,Male,Basic,78.2,18,2,5,Incheon,Yes
C023,50,Female,Basic,31.6,14,3,3,Incheon,No
C024,23,Male,Basic,107.4,4,2,1,,Yes
C025,48,Male,Standard,53.4,8,1,3,Seoul,No
C026,54,Male,Premium,131.2,8,2,3,Incheon,No
C027,33,Female,Premium,39.8,1,4,2,Incheon,No
C028,47,Female,Basic,55.6,2,5,5,Seoul,Yes
C029,23,Male,Standard,80.3,17,2,0,Seoul,No
C030,24,Male,Standard,48.2,4,5,1,Seoul,No
C031,25,Female,Standard,87.8,11,3,1,Daegu,No
C032,,Female,Basic,97.5,15,3,0,Seoul,No
C033,59,Male,Basic,45.6,9,2,2,Seoul,Yes
C034,43,Female,Basic,120.0,10,5,5,Seoul,Yes
C035,39,Male,Premium,36.1,4,1,5,Busan,Yes
C036,38,Male,Standard,44.4,9,5,3,Daegu,No
C037,25,Female,Premium,25.3,11,2,5,Daegu,No
C038,48,Female,Standard,33.4,5,5,0,Daegu,No
C039,55,Male,Standard,,12,1,2,Busan,No
C040,26,Female,Standard,126.1,14,5,5,Busan,No
C041,30,Male,Premium,23.0,11,4,5,Busan,No
C042,30,Male,Basic,24.6,16,2,1,Incheon,Yes
C043,39,Male,Basic,99.2,13,3,2,Seoul,No
C044,42,Female,Standard,121.2,11,1,0,Daegu,No
C045,57,Female,Basic,91.6,12,,3,Seoul,No
C046,56,Male,Basic,105.1,1,5,4,Busan,Yes
C047,47,Male,Premium,130.5,11,1,5,Daegu,Yes
C048,39,Female,Basic,103.7,18,2,1,Incheon,Yes
C049,31,Female,Standard,120.0,10,3,1,Incheon,No
C050,58,Female,Standard,73.1,7,5,3,Busan,No
