customer_id,signup_date,age,gender,region,service_tier,contract_type,payment_method,auto_payment,tenure_months,monthly_fee,support_calls_90d,late_payments_12m,weekly_usage_hours,monthly_usage_minutes,churn_risk
CUS-10001,2024-07-24,63.0,Female,Daejeon,Basic,One-year,Card,Yes,60.0,60.8,1.0,0.0,1.1,83.0,No
CUS-10002,2022-06-23,35.0,Female,Busan,Basic,Monthly,Bank transfer,No,56.0,57.5,0.0,0.0,6.3,413.0,Yes
CUS-10003,2021-07-12,45.0,Male,Seoul,Standard,Monthly,Card,Yes,17.0,65.1,2.0,1.0,4.3,313.0,Yes
CUS-10004,2025-08-07,46.0,Male,Seoul,Basic,Two-year,Card,Yes,50.0,63.1,3.0,0.0,12.7,880.0,No
CUS-10005,2022-12-27,50.0,Male,Seoul,Basic,Monthly,Card,Yes,32.0,57.9,2.0,0.0,2.1,171.0,No
CUS-10006,2022-03-27,52.0,Male,Busan,Standard,Monthly,Mobile pay,Yes,14.0,71.4,2.0,0.0,3.2,266.0,No
CUS-10007,2024-11-05,25.0,Male,Seoul,Basic,Two-year,Mobile pay,Yes,57.0,54.1,3.0,0.0,6.7,525.0,No
CUS-10008,2023-04-22,,Female,Seoul,Basic,Monthly,Bank transfer,No,48.0,63.5,3.0,0.0,8.7,697.0,No
CUS-10009,2024-07-16,28.0,Male,Seoul,Basic,Two-year,Virtual account,Yes,46.0,,2.0,0.0,2.0,144.0,No
CUS-10010,2025-11-18,,Male,Busan,Premium,One-year,Card,Yes,3.0,35.0,3.0,0.0,3.9,294.0,No
CUS-10011,2024-12-12,41.0,Male,Daejeon,Standard,One-year,Mobile pay,No,22.0,63.1,1.0,0.0,0.8,60.0,No
CUS-10012,2023-12-07,46.0,Male,Seoul,Premium,Monthly,Card,No,14.0,89.1,0.0,2.0,9.4,636.0,No
CUS-10013,2025-07-05,55.0,Male,Busan,Standard,One-year,Bank transfer,Yes,9.0,40.4,1.0,1.0,6.6,446.0,No
CUS-10014,2024-07-25,50.0,Female,Seoul,Premium,Monthly,Mobile pay,No,19.0,75.1,0.0,1.0,6.6,496.0,No
CUS-10015,2025-01-28,59.0,Male,Gwangju,Standard,Monthly,Mobile pay,Yes,17.0,51.0,2.0,1.0,3.2,196.0,No
