customer_id,signup_date,age,monthly_visits,avg_session_min,cart_adds,purchase_count,return_rate,discount_usage,days_since_last_visit,device_type,membership,region,preferred_category,contact_channel,customer_segment
CUST-000001,2022-04-05,34.0,8,7.15,5,4,0.023,0.296,20.8,mobile,Basic,Daegu,fashion,email,Loyal
CUST-000002,2022-04-30,40.0,11,13.56,5,6,0.064,0.225,23.7,desktop,Basic,Seoul,electronics,email|sms,Bargain
CUST-000003,2023-03-07,32.0,5,12.45,2,5,0.095,0.576,1.9,mobile,Basic,Gyeonggi,home,email,Loyal
CUST-000004,2023-06-21,49.0,9,32.01,8,1,0.102,0.647,7.7,mobile,Silver,Gyeonggi,fashion,push,Explorer
CUST-000005,2026-04-12,49.0,8,24.78,5,4,0.198,0.561,11.3,mobile,Gold,Seoul,home,email|push,Loyal
CUST-000006,2026-05-11,24.0,3,30.54,5,2,0.355,0.555,23.6,mobile,Silver,Busan,fashion,email|sms,Explorer
CUST-000007,2023-11-02,50.0,10,29.63,7,5,0.236,0.408,20.1,mobile,Basic,Seoul,fashion,email,Explorer
CUST-000008,2023-11-06,40.0,5,5.88,5,1,0.29,0.709,9.0,mobile,Basic,Gyeonggi,home,push,Bargain
CUST-000009,2026-05-01,59.0,7,16.78,9,5,0.094,0.092,4.8,mobile,Basic,Seoul,electronics,email|sms,Explorer
CUST-000010,2024-04-08,29.0,9,12.58,5,3,0.026,0.176,6.9,desktop,Silver,Busan,sports,email|push,Explorer
CUST-000011,2023-08-21,36.0,7,14.98,6,1,0.085,0.624,12.9,mobile,Silver,Seoul,home,push,Bargain
CUST-000012,2022-05-19,48.0,8,26.94,5,5,0.035,0.771,18.9,mobile,Silver,Busan,sports,sms,Bargain
CUST-000013,2022-03-30,59.0,6,32.91,8,4,0.253,0.28,2.9,tablet,Silver,Seoul,beauty,email,Explorer
CUST-000014,2022-07-18,28.0,9,13.19,14,7,0.2,0.252,3.0,desktop,Basic,Gyeonggi,fashion,sms,Loyal
CUST-000015,2025-07-13,64.0,6,20.65,5,3,0.096,0.18,14.2,mobile,Basic,Busan,fashion,email,Explorer
CUST-000016,2025-01-05,46.0,9,9.68,5,4,0.17,0.447,17.7,desktop,Basic,Seoul,beauty,email|push,Explorer
CUST-000017,2024-11-28,51.0,12,32.9,10,4,0.087,0.054,5.6,mobile,Basic,Seoul,beauty,sms,Explorer
CUST-000018,2023-12-16,27.0,9,36.51,4,5,0.154,0.529,7.0,mobile,Gold,Gyeonggi,electronics,push|sms,Loyal
CUST-000019,2022-01-17,38.0,9,7.44,5,2,0.025,0.242,20.2,mobile,Silver,Seoul,beauty,email|sms,Loyal
CUST-000020,2022-04-18,35.0,12,11.44,8,3,0.075,0.696,6.5,tablet,Basic,Seoul,beauty,sms,Bargain
CUST-000021,2023-10-11,45.0,6,7.74,3,4,0.302,0.33,18.0,desktop,Gold,Gyeonggi,home,push|sms,Loyal
CUST-000022,2025-06-01,34.0,13,8.18,11,5,0.205,0.339,7.9,mobile,Gold,Gyeonggi,home,email,Loyal
CUST-000023,2025-01-03,40.0,15,10.5,9,3,0.021,0.742,25.9,desktop,Basic,Gyeonggi,fashion,email,Bargain
CUST-000024,2023-12-03,37.0,15,17.3,5,6,0.363,0.105,4.6,mobile,Basic,Seoul,beauty,email|push,Explorer
CUST-000025,2024-02-21,55.0,11,33.73,5,3,0.127,0.51,25.7,mobile,Basic,Gyeonggi,home,sms,Explorer
CUST-000026,2025-09-25,33.0,8,21.72,4,4,0.019,0.678,3.0,mobile,Basic,Gyeonggi,home,email,Loyal
CUST-000027,2025-10-22,22.0,5,6.3,6,2,0.038,0.32,2.9,mobile,Gold,Seoul,home,email|sms,Loyal
CUST-000028,2024-03-23,18.0,10,20.34,8,4,0.192,0.55,41.7,desktop,Basic,Seoul,beauty,sms,Explorer
CUST-000029,2026-01-14,36.0,8,54.44,7,7,0.115,0.217,21.9,desktop,Basic,Gyeonggi,fashion,push|sms,Explorer
CUST-000030,2022-07-27,65.0,6,9.66,4,2,0.077,0.69,23.2,desktop,Gold,Seoul,sports,email,Explorer
CUST-000031,2022-11-08,38.0,13,20.01,6,1,0.317,0.332,11.0,desktop,Gold,Seoul,electronics,push,Explorer
CUST-000032,2025-01-17,27.0,9,18.31,8,4,0.266,0.318,6.3,mobile,Basic,Seoul,electronics,sms,Explorer
CUST-000033,2023-12-15,26.0,10,15.71,7,2,0.103,0.326,12.3,mobile,Basic,Gyeonggi,fashion,push,Bargain
CUST-000034,2026-06-23,44.0,8,17.1,5,4,0.138,0.564,4.7,desktop,Basic,Gyeonggi,home,email,Bargain
CUST-000035,2025-05-29,42.0,9,26.14,5,5,0.138,0.245,5.5,mobile,Basic,Daejeon,beauty,email|sms,Explorer
CUST-000036,2022-11-09,32.0,10,20.27,4,5,0.091,0.3,18.7,mobile,Basic,Busan,beauty,email,Explorer
CUST-000037,2023-07-30,35.0,4,25.32,5,2,0.102,0.564,9.1,mobile,Basic,Busan,fashion,email,Bargain
CUST-000038,2025-07-08,40.0,9,20.94,10,7,0.097,0.698,6.6,mobile,Silver,Gyeonggi,fashion,sms,Explorer
CUST-000039,2023-02-28,35.0,5,19.14,4,5,0.069,0.712,8.1,desktop,Basic,Seoul,beauty,email|sms,Bargain
CUST-000040,2025-05-24,18.0,12,6.5,10,4,0.167,0.531,7.3,desktop,Basic,Daegu,fashion,email,Bargain
CUST-000041,2024-11-07,45.0,8,7.7,9,1,0.183,0.765,4.5,mobile,Basic,Seoul,electronics,sms,Bargain
CUST-000042,2024-11-14,38.0,9,18.88,5,3,0.221,0.888,27.7,mobile,Gold,Gyeonggi,sports,push,Bargain
CUST-000043,2025-04-03,37.0,6,38.39,7,7,0.135,0.129,8.7,desktop,Silver,Busan,electronics,email|sms,Explorer
CUST-000044,2022-11-16,40.0,11,27.54,8,5,0.108,0.422,10.6,mobile,Basic,Gyeonggi,home,email|push|sms,Bargain
CUST-000045,2024-05-04,44.0,6,30.93,4,5,0.476,0.19,16.4,desktop,Basic,Gyeonggi,fashion,email|sms,Bargain
CUST-000046,2025-10-17,35.0,10,9.0,2,5,0.439,0.55,7.1,desktop,Silver,Busan,fashion,push,Bargain
CUST-000047,2022-08-22,31.0,6,37.42,6,6,0.056,0.796,8.6,desktop,Silver,Seoul,beauty,email,Bargain
CUST-000048,2025-09-04,35.0,10,6.37,5,6,0.139,0.205,9.6,mobile,Silver,Gyeonggi,beauty,email,Explorer
CUST-000049,2023-06-17,57.0,13,10.4,3,5,0.075,0.655,32.9,mobile,Basic,Seoul,electronics,push|sms,Bargain
CUST-000050,2025-04-27,29.0,9,22.07,3,2,0.563,0.209,5.2,desktop,Basic,Daejeon,fashion,email,Explorer
CUST-000051,2024-03-06,38.0,6,2.68,8,6,0.336,0.048,16.6,desktop,Silver,Seoul,electronics,email|sms,At_Risk
CUST-000052,2026-01-06,27.0,8,9.29,10,1,0.086,0.558,14.8,desktop,Silver,Gyeonggi,electronics,push|sms,Bargain
CUST-000053,2024-11-19,29.0,12,20.45,9,3,0.368,0.572,8.2,desktop,Basic,Daejeon,home,push,Bargain
CUST-000054,2025-12-14,39.0,7,37.83,4,2,0.323,0.316,21.4,tablet,Basic,Busan,electronics,sms,Explorer
CUST-000055,2024-09-17,36.0,10,23.0,3,3,0.022,0.586,45.6,desktop,Gold,Gyeonggi,home,email|push|sms,Explorer
CUST-000056,2024-07-14,44.0,7,12.15,3,5,0.059,0.32,6.4,desktop,Basic,Gyeonggi,home,email|sms,Bargain
CUST-000057,2025-06-17,52.0,10,33.63,6,6,0.067,0.478,26.4,desktop,Basic,Gyeonggi,fashion,email|push,Explorer
CUST-000058,2024-09-28,33.0,10,21.9,4,7,0.043,0.657,4.3,mobile,Gold,Seoul,beauty,push|sms,Bargain
CUST-000059,2026-02-12,32.0,4,8.84,4,4,0.091,0.563,12.7,mobile,Basic,Daejeon,beauty,email,Explorer
CUST-000060,2026-04-19,36.0,4,13.77,5,5,0.332,0.435,2.7,mobile,Silver,Seoul,electronics,email,Bargain
CUST-000061,2022-11-18,40.0,7,6.25,2,3,0.053,0.25,20.0,mobile,Basic,Gyeonggi,home,email|push|sms,Explorer
CUST-000062,2024-07-08,44.0,8,17.35,5,2,0.138,0.696,9.2,mobile,Basic,Busan,fashion,sms,Bargain
CUST-000063,2025-03-17,27.0,9,6.61,8,2,0.167,0.61,20.9,tablet,Basic,Busan,home,sms,Bargain
CUST-000064,2022-12-29,41.0,10,7.85,5,1,0.039,0.457,20.2,mobile,Basic,Daegu,fashion,email|push,Bargain
CUST-000065,2024-11-18,52.0,10,10.78,4,0,0.027,0.475,35.1,mobile,Gold,Seoul,beauty,email,Bargain
CUST-000066,2023-10-29,35.0,13,17.17,4,6,0.185,0.482,5.6,mobile,Basic,Gyeonggi,beauty,email,Bargain
CUST-000067,2025-01-24,,8,6.16,8,3,0.066,0.529,12.0,mobile,Basic,Busan,home,push,Bargain
CUST-000068,2023-06-30,32.0,8,7.41,9,3,0.179,0.342,14.5,mobile,Silver,Gyeonggi,sports,sms,Bargain
CUST-000069,2026-06-19,40.0,12,26.71,9,2,0.153,0.406,4.6,mobile,Gold,Seoul,beauty,email,Bargain
CUST-000070,2025-07-19,48.0,4,13.05,5,3,0.338,0.517,15.7,desktop,Silver,Daegu,sports,email,Bargain
CUST-000071,2023-06-18,35.0,9,12.64,3,3,0.488,0.608,10.0,desktop,Basic,Seoul,home,push,Bargain
CUST-000072,2026-01-29,24.0,9,8.0,7,4,0.106,0.327,1.2,mobile,Silver,Gyeonggi,fashion,email,Loyal
CUST-000073,2022-08-30,56.0,13,15.23,2,3,0.08,0.354,14.7,mobile,Basic,Seoul,electronics,email|push,Bargain
CUST-000074,2023-08-21,62.0,9,25.5,7,2,0.071,0.769,19.5,mobile,Basic,Daejeon,home,email,Explorer
CUST-000075,2024-08-30,34.0,10,24.37,8,6,0.173,0.357,14.1,desktop,Basic,Busan,home,push|sms,Explorer
CUST-000076,2022-09-19,18.0,11,8.16,8,3,0.285,0.648,15.6,desktop,Basic,Seoul,sports,push,Loyal
CUST-000077,2024-09-26,18.0,13,12.74,7,2,0.062,0.79,8.4,desktop,Basic,Seoul,home,push,Bargain
CUST-000078,2025-12-29,59.0,13,22.09,5,3,0.314,0.758,7.5,mobile,Silver,Busan,home,email|sms,Bargain
CUST-000079,2025-12-30,21.0,14,13.28,10,3,0.066,0.642,32.8,mobile,Silver,Daegu,home,email|sms,Bargain
CUST-000080,2024-05-30,39.0,5,23.15,5,2,0.049,0.818,5.9,mobile,Basic,Busan,beauty,email|push,Bargain
CUST-000081,2025-03-30,40.0,6,18.07,5,5,0.037,0.644,8.4,desktop,Silver,Gyeonggi,home,push,Explorer
CUST-000082,2026-05-16,36.0,7,13.0,6,9,0.119,0.468,8.6,mobile,Gold,Seoul,fashion,email,Loyal
CUST-000083,2025-04-13,26.0,4,8.16,4,3,0.02,0.722,6.3,mobile,Basic,Daegu,electronics,email,Bargain
CUST-000084,2024-05-17,40.0,10,261.62,6,4,0.169,0.705,5.2,mobile,Basic,Busan,electronics,sms,Bargain
CUST-000085,2023-11-29,63.0,15,21.92,7,0,0.124,0.146,3.2,desktop,Silver,Busan,fashion,email,Explorer
CUST-000086,2023-12-27,33.0,8,25.39,7,4,0.17,0.382,23.1,desktop,Basic,Daegu,electronics,push,Explorer
CUST-000087,2026-03-28,52.0,13,16.97,10,4,0.143,0.366,3.4,mobile,Silver,Daejeon,beauty,push,Explorer
CUST-000088,2022-09-25,46.0,8,12.37,3,4,0.053,0.505,3.1,mobile,Basic,Gyeonggi,fashion,push,Bargain
