customer_id,age,monthly_spend,visits_30d,support_calls,membership,region,signup_date,device,churn
C10000,59,,11,5,Gold,Busan,2023-12-31,Android,1
C10001,45,56776.0,10,3,Gold,Daejeon,2024-04-10,Android,0
C10002,48,119889.0,5,1,Silver,Seoul,2026-02-20,iOS,0
C10003,25,80395.0,0,2,Gold,Busan,2024-08-12,Android,1
C10004,43,82117.0,6,1,Silver,Daejeon,2024-06-28,Android,0
C10005,45,87547.0,3,2,Basic,Daegu,2025-04-07,Android,0
C10006,39,33652.0,9,2,Silver,Busan,2025-11-17,Android,0
C10007,27,25943.0,8,1,Basic,Busan,2023-06-13,Android,0
C10008,25,81458.0,5,3,Basic,Daegu,2024-05-27,Android,0
C10009,63,23490.0,8,3,Basic,Seoul,2024-04-13,Android,1
C10010,67,31303.0,8,1,Basic,Seoul,2024-08-19,iOS,0
C10011,55,51878.0,6,2,Silver,Daegu,2023-02-10,Android,1
C10012,63,74588.0,12,2,Silver,Busan,2025-09-13,Android,0
C10013,66,36042.0,6,4,Silver,Busan,2025-06-22,iOS,0
C10014,30,59438.0,5,1,Silver,Seoul,2025-01-09,Android,0
C10015,25,51022.0,9,3,Silver,Seoul,2025-07-17,Web,0
C10016,61,97433.0,5,2,Basic,Busan,2023-04-27,Android,0
C10017,67,33442.0,8,4,Silver,Daejeon,2024-03-23,iOS,0
C10018,45,82755.0,7,0,Gold,Busan,2023-04-18,iOS,0
C10019,68,102506.0,5,2,Silver,Daegu,2024-03-18,iOS,0
C10020,55,45443.0,7,0,Basic,Seoul,2023-05-08,Android,0
C10021,58,61291.0,6,2,Silver,Seoul,2023-01-22,Android,0
C10022,34,58559.0,6,1,Silver,Daejeon,2024-09-24,Android,0
C10023,42,43573.0,5,0,Silver,Daegu,2025-04-28,iOS,0
C10024,53,86826.0,8,2,Gold,Seoul,2025-11-05,iOS,0
C10025,61,60984.0,1,2,Silver,Daegu,2024-09-15,Android,0
C10026,47,63173.0,3,3,,Busan,2023-10-31,Web,0
C10027,41,68595.0,7,2,Basic,Seoul,2023-09-16,Android,0
C10028,37,28567.0,9,0,Basic,Busan,2024-08-17,Android,0
C10029,25,68233.0,8,1,Silver,Seoul,2024-06-20,Android,0
C10030,53,34901.0,3,0,Basic,Daejeon,2024-05-01,Android,0
C10031,29,76237.0,8,1,Basic,Seoul,2024-10-20,iOS,0
C10032,48,72943.0,15,1,Basic,Daejeon,2026-03-27,Android,1
C10033,56,80977.0,9,4,Silver,Seoul,2023-03-31,Android,0
C10034,38,38589.0,7,1,Basic,Seoul,2026-01-15,Android,0
C10035,68,52817.0,6,1,Gold,Busan,2024-05-25,Android,0
C10036,30,42150.0,8,0,Basic,Seoul,2025-12-05,iOS,0
C10037,63,61765.0,8,3,Silver,Busan,2024-03-07,iOS,0
C10038,44,65176.0,0,2,Basic,Seoul,2023-06-21,Android,1
C10039,39,92038.0,5,3,Silver,Daegu,2023-01-17,Android,0
C10040,61,103724.0,6,2,Basic,Daegu,2023-07-23,Android,0
C10041,46,57109.0,4,0,Silver,Daegu,2024-03-01,iOS,0
C10042,61,67726.0,9,1,Gold,Busan,2024-03-28,Android,0
C10043,26,76034.0,8,0,Basic,Daegu,2026-04-29,iOS,0
C10044,66,95799.0,13,1,Basic,Daejeon,2024-09-07,iOS,0
C10045,32,67728.0,6,1,Silver,Daejeon,2023-09-16,Android,0
C10046,66,55073.0,6,2,Basic,Busan,2023-12-13,Android,0
C10047,52,25386.0,10,0,Basic,Seoul,2023-09-30,iOS,0
C10048,41,55943.0,7,0,Basic,Seoul,2024-01-27,iOS,0
C10049,43,38510.0,14,1,Basic,Daejeon,2023-08-07,iOS,0
C10050,61,54578.0,6,0,Silver,Busan,2023-12-08,Web,0
C10051,65,116855.0,4,2,Basic,Seoul,2026-04-17,Android,0
C10052,69,67640.0,11,2,Basic,Daejeon,2024-11-03,Android,0
C10053,24,102152.0,8,4,Basic,Seoul,2023-01-30,Android,0
C10054,29,56898.0,15,1,Basic,Busan,2024-03-04,Android,0
C10055,38,32804.0,4,0,Silver,Busan,2026-02-16,iOS,0
C10056,65,95810.0,6,2,Basic,Daegu,2024-06-29,Web,0
C10057,67,33321.0,3,1,Silver,Busan,2026-04-23,Android,0
C10058,69,60415.0,12,2,Basic,Seoul,2024-05-31,iOS,0
C10059,31,59594.0,5,3,Basic,Seoul,2024-09-26,Android,0
C10060,50,17063.0,11,2,Gold,Seoul,2026-01-05,Android,0
C10061,44,95459.0,9,0,Silver,Busan,2023-09-16,iOS,0
C10062,54,61703.0,5,1,Basic,Daejeon,2023-09-17,iOS,0
C10063,69,84039.0,8,2,Basic,Busan,2025-01-22,Android,0
C10064,40,18260.0,13,3,Gold,Seoul,2026-04-04,iOS,1
C10065,42,98608.0,4,1,Silver,Daegu,2025-07-26,iOS,0
C10066,29,75515.0,8,3,Basic,Busan,2023-12-01,iOS,0
C10067,52,66876.0,12,0,Basic,Seoul,2025-06-22,iOS,0
C10068,32,92470.0,7,0,Gold,Seoul,2025-10-23,Web,0
C10069,27,57515.0,11,1,Basic,Seoul,2023-01-12,Android,0
C10070,41,73442.0,5,1,Basic,Daejeon,2024-04-21,iOS,0
C10071,55,91445.0,4,2,Silver,Busan,2026-02-18,Android,0
C10072,30,98603.0,7,2,Gold,Busan,2024-10-20,iOS,0
C10073,27,56668.0,13,2,Basic,Busan,2025-12-23,Android,0
C10074,68,49260.0,6,2,Silver,Daegu,2023-07-30,Android,0
C10075,63,71871.0,5,1,Basic,Busan,2024-04-19,iOS,0
C10076,53,78373.0,3,2,Basic,Seoul,2026-01-31,Android,0
C10077,45,72440.0,7,1,Silver,Daegu,2025-11-17,Android,0
C10078,33,89516.0,4,2,Basic,Daegu,2023-09-20,Web,0
C10079,50,64386.0,6,3,Silver,Seoul,2025-09-13,Android,0
C10080,26,22508.0,10,2,Basic,Seoul,2024-04-05,iOS,1
C10081,21,81654.0,6,1,Silver,Seoul,2024-03-19,iOS,0
C10082,33,43210.0,11,1,Basic,Daegu,2026-04-27,iOS,1
C10083,57,93510.0,7,2,Silver,Seoul,2025-02-12,iOS,0
C10084,54,53102.0,11,5,Basic,Seoul,2023-02-24,Android,0
C10085,39,68661.0,3,3,Basic,Busan,2024-05-02,Android,0
C10086,55,64697.0,6,3,,Seoul,2024-04-05,Android,0
C10087,38,83112.0,7,4,Silver,Daejeon,2026-05-18,iOS,0
C10088,44,,10,1,Silver,Seoul,2025-06-08,Android,0
C10089,27,60648.0,9,1,Basic,Busan,2025-10-08,Android,0
C10090,25,109314.0,6,1,Basic,Daegu,2024-09-03,iOS,0
C10091,32,57448.0,5,1,Silver,Busan,2024-08-07,Android,0
C10092,23,92147.0,10,6,Silver,Seoul,2025-03-19,iOS,0
C10093,55,29329.0,6,1,Silver,Daejeon,2024-10-12,iOS,0
C10094,24,71157.0,9,0,Silver,Seoul,2026-02-10,Android,0
C10095,34,57568.0,6,2,Basic,Busan,2024-08-09,Android,0
C10096,60,75791.0,8,0,Basic,Busan,2024-12-01,iOS,0
C10097,69,33335.0,12,0,Silver,Busan,2026-01-12,Android,0
C10098,34,41860.0,8,1,Basic,Daegu,2025-01-20,iOS,0
C10099,57,63223.0,8,3,Basic,Daegu,2024-05-26,Android,0
C10100,61,83265.0,5,1,Basic,Seoul,2023-05-12,Android,0
C10101,32,21996.0,9,1,Gold,Seoul,2023-12-16,Web,0
C10102,57,69738.0,7,2,Gold,Seoul,2025-01-07,Web,0
C10103,37,74665.0,9,0,Silver,Busan,2025-01-10,Android,0
C10104,20,82643.0,7,4,Basic,Busan,2025-10-11,Web,0
C10105,33,73657.0,7,0,Basic,Seoul,2026-01-26,Android,0
C10106,59,,11,1,Basic,Daegu,2025-04-16,iOS,0
C10107,25,106399.0,4,4,Basic,Seoul,2026-06-02,Web,1
C10108,67,32102.0,10,0,Gold,Seoul,,Android,0
C10109,60,64193.0,7,1,Basic,Seoul,2023-02-26,iOS,0
C10110,41,43118.0,6,0,Silver,Daegu,2023-09-14,iOS,0
C10111,66,54024.0,7,1,Gold,Seoul,2024-01-22,Android,0
C10112,69,85791.0,8,0,Basic,Busan,2023-10-14,iOS,0
C10113,30,40555.0,13,1,Gold,Daejeon,2024-12-13,Web,0
C10114,64,21295.0,1,2,Silver,Seoul,2024-02-22,iOS,0
C10115,23,107632.0,7,1,Basic,Seoul,2026-04-07,Android,0
C10116,56,93029.0,7,1,Silver,Busan,2024-05-10,iOS,0
C10117,68,107199.0,11,2,Basic,Busan,2026-04-20,iOS,0
C10118,21,,3,1,Basic,Busan,2023-11-06,iOS,0
C10119,24,108717.0,5,3,Silver,Busan,2024-04-29,iOS,0
C10120,44,69534.0,7,2,Basic,Daegu,2024-05-02,Android,0
C10121,65,,9,2,Gold,Daejeon,2023-11-14,Android,0
C10122,35,67710.0,3,2,Basic,Daejeon,2024-06-28,iOS,0
C10123,33,51194.0,5,0,Basic,Seoul,2024-06-24,iOS,0
C10124,54,42996.0,8,4,Basic,Busan,2023-05-08,Android,0
C10125,53,77935.0,6,2,Basic,Busan,2025-09-18,Android,0
C10126,39,68134.0,12,2,Gold,Seoul,2025-08-27,Web,0
C10127,44,45540.0,6,0,Silver,Busan,2024-04-17,Android,0
C10128,53,95622.0,8,3,Silver,Busan,2025-06-18,iOS,0
C10129,26,64513.0,7,1,Basic,Seoul,2025-10-21,iOS,0
C10130,50,,6,1,Gold,Daejeon,2023-05-23,Android,0
C10131,27,86868.0,14,1,Gold,Seoul,2024-12-01,Android,0
C10132,37,93868.0,6,3,Silver,Seoul,2025-07-30,Android,0
C10133,23,84196.0,4,1,Basic,Daejeon,2026-01-09,iOS,0
C10134,28,51263.0,5,6,Basic,Daejeon,2026-04-01,Android,0
C10135,47,66023.0,6,1,Gold,Busan,2023-05-23,Android,0
C10136,33,68236.0,8,0,Basic,Busan,2025-12-02,Android,0
C10137,23,65680.0,7,0,Silver,Seoul,2024-03-16,iOS,0
C10138,61,39251.0,6,1,Gold,Busan,2026-02-06,Android,0
C10139,38,67340.0,4,2,Silver,Daegu,2025-11-10,Android,0
C10140,52,,8,3,,Seoul,2025-01-12,Android,0
C10141,53,44664.0,6,4,Silver,Daejeon,2023-05-27,Android,0
C10142,24,33120.0,6,1,Basic,Seoul,2024-08-14,iOS,0
C10143,19,69987.0,10,1,Basic,Busan,2023-12-11,iOS,0
C10144,43,77717.0,6,1,Silver,Seoul,2023-11-09,Android,0
C10145,60,57502.0,7,2,Basic,Daejeon,2023-07-15,Android,0
C10146,60,72210.0,5,2,Silver,Seoul,2023-02-23,Android,0
C10147,35,81844.0,10,7,Gold,Daejeon,2023-10-07,Web,0
C10148,59,48939.0,4,2,Basic,Seoul,2023-11-12,Android,0
C10149,30,69159.0,10,1,Basic,Daejeon,2024-05-13,iOS,0
C10150,66,19224.0,9,1,Silver,Busan,2025-09-22,Android,0
C10151,41,59401.0,6,0,Gold,Daegu,2024-08-24,Android,0
C10152,32,42560.0,5,1,Basic,Daejeon,2024-01-05,Web,0
