student_id,study_hours,practice_score,attendance,sleep_hours,prior_level,result_class
S2000,3.7,52.9,68.9,4.6,mid,1
S2001,5.0,72.4,62.3,6.4,low,1
S2002,7.1,59.4,86.8,7.9,mid,1
S2003,7.8,65.3,64.1,5.8,high,2
S2004,7.2,93.5,93.7,6.5,mid,2
S2005,1.4,56.3,75.5,6.7,mid,0
S2006,5.3,80.0,76.0,5.8,high,1
S2007,2.0,67.5,65.8,7.1,mid,0
S2008,5.3,100.0,90.1,8.1,mid,2
S2009,7.1,76.3,95.3,5.9,low,2
S2010,7.8,70.0,59.7,8.6,low,1
S2011,3.4,75.8,79.2,6.2,high,1
S2012,1.2,63.2,84.9,5.3,low,0
S2013,4.3,88.6,86.5,6.4,mid,1
S2014,3.0,58.6,74.7,6.7,mid,0
S2015,5.7,82.4,61.5,4.2,low,0
S2016,2.9,52.9,60.9,7.3,mid,0
S2017,4.8,63.2,58.6,6.8,high,1
S2018,3.7,65.4,59.2,6.3,low,0
S2019,1.4,68.8,81.7,7.5,low,0
S2020,7.4,38.9,75.5,6.4,mid,1
S2021,4.0,61.6,81.0,6.1,mid,1
S2022,2.4,60.8,60.1,8.5,high,0
S2023,1.5,75.6,68.2,6.7,low,0
S2024,7.7,63.5,98.5,5.8,low,2
S2025,5.0,80.6,89.6,6.8,mid,2
S2026,6.8,96.6,86.1,6.7,low,2
S2027,6.6,54.7,95.9,7.5,mid,2
S2028,5.5,60.7,96.4,5.9,mid,1
S2029,2.3,69.7,85.8,6.4,mid,0
S2030,7.1,56.1,79.4,4.6,mid,1
S2031,1.1,60.0,76.5,6.3,high,1
S2032,5.1,92.6,85.2,5.6,mid,2
S2033,1.7,100.0,70.0,7.5,high,2
S2034,7.9,55.4,97.8,5.0,mid,2
S2035,6.0,100.0,89.6,6.3,low,2
S2036,2.2,67.6,86.9,6.3,high,1
S2037,6.4,68.2,93.0,8.1,mid,2
S2038,0.8,78.6,92.6,7.5,mid,1
S2039,2.9,75.0,98.3,7.2,low,1
S2040,6.7,74.7,64.4,7.8,mid,1
S2041,6.0,98.9,62.5,8.5,mid,2
S2042,1.8,91.3,92.1,6.9,high,2
S2043,6.0,93.9,94.5,5.4,mid,2
S2044,7.4,89.8,94.3,6.3,low,2
S2045,4.4,46.2,95.1,9.0,mid,0
S2046,4.0,65.5,57.0,7.0,low,0
S2047,8.2,87.3,80.2,7.5,mid,2
S2048,1.9,39.6,76.5,5.7,mid,0
S2049,1.7,100.0,74.0,9.6,mid,1
S2050,0.9,87.0,79.8,7.1,mid,1
S2051,1.5,82.4,97.1,6.4,mid,1
S2052,6.1,78.0,81.1,7.8,mid,1
S2053,7.2,64.7,88.0,6.7,mid,2
S2054,5.4,83.3,87.6,5.8,high,2
S2055,1.5,49.7,56.5,6.0,mid,0
S2056,4.3,83.9,63.0,7.0,high,1
S2057,3.8,64.1,68.0,9.0,high,1
S2058,3.0,63.7,80.6,7.5,mid,0
S2059,2.2,90.1,84.3,6.3,low,0
S2060,4.2,54.8,89.0,5.1,mid,0
S2061,5.7,61.1,57.3,6.9,mid,1
S2062,5.7,73.4,60.2,5.1,mid,1
S2063,4.1,77.5,65.7,6.0,high,1
S2064,5.8,73.6,80.9,7.8,mid,1
S2065,8.3,72.1,87.7,7.4,mid,2
S2066,7.1,70.9,73.7,7.4,low,2
S2067,5.8,85.5,81.2,5.7,mid,2
S2068,8.4,87.7,98.2,5.7,mid,2
S2069,5.6,100.0,73.1,6.9,mid,2
S2070,3.8,67.9,70.3,8.3,low,0
S2071,6.4,91.2,75.5,5.6,high,2
S2072,7.8,88.4,77.3,7.6,mid,2
S2073,5.7,55.1,79.2,7.1,high,2
S2074,6.9,68.0,94.7,7.1,mid,2
S2075,3.1,100.0,87.0,6.2,mid,2
S2076,2.9,73.0,91.9,5.6,mid,0
S2077,4.1,73.1,86.0,6.6,mid,0
S2078,5.7,56.7,67.9,4.5,mid,0
S2079,5.2,50.5,65.4,5.2,mid,1
S2080,3.2,57.9,86.6,5.7,mid,0
S2081,8.3,84.0,55.0,8.3,mid,2
S2082,3.9,75.7,70.7,5.0,high,2
S2083,4.1,100.0,70.4,6.1,high,2
S2084,1.2,79.4,78.0,6.3,low,1
S2085,1.6,68.8,91.2,6.0,mid,0
S2086,2.4,54.9,80.7,5.9,low,0
S2087,4.3,68.6,86.7,7.2,low,0
S2088,2.8,88.4,58.3,6.5,high,1
S2089,0.9,82.5,75.7,6.8,low,0
S2090,5.7,67.2,66.7,6.0,mid,1
S2091,6.9,45.3,73.5,5.5,high,2
S2092,8.4,57.9,80.6,6.5,high,2
S2093,1.6,67.8,73.8,7.0,low,0
S2094,8.0,54.9,70.4,6.1,mid,2
S2095,1.0,90.9,87.7,5.4,high,2
S2096,8.2,87.6,80.5,7.0,low,2
S2097,4.6,82.6,86.2,7.0,mid,1
S2098,7.3,78.8,57.0,7.0,mid,2
S2099,6.8,68.3,57.9,5.1,high,2
S2100,3.7,72.2,84.8,3.6,mid,0
S2101,1.3,82.7,93.9,6.6,high,1
S2102,4.7,53.1,76.8,5.7,mid,0
S2103,3.7,50.2,83.9,5.9,low,0
S2104,7.7,68.1,82.0,6.4,low,1
