order_id,order_date,distance_km,weight_kg,package_type,traffic,weather,delivery_time_min
O50000,2025-09-15,146.4,11.9,medium,medium,rain,135.5
O50001,2026-05-12,109.9,46.2,small,high,clear,132.7
O50002,2025-11-14,171.6,4.4,small|fragile,low,clear,140.3
O50003,2025-04-03,86.4,14.0,small,medium,rain,110.2
O50004,2026-04-24,84.1,24.1,medium|fragile,medium,clear,117.0
O50005,2025-01-02,179.4,8.4,medium,medium,clear,142.2
O50006,2026-07-01,122.6,16.3,medium,high,clear,129.6
O50007,2025-01-17,26.9,9.8,small,medium,rain,74.4
O50008,2025-02-11,40.0,2.4,small,medium,clear,54.1
O50009,2026-04-20,129.7,9.6,large|fragile,low,clear,109.6
O50010,2025-12-05,29.5,13.9,medium|fragile,medium,clear,75.1
O50011,2025-12-25,107.7,14.6,small,high,clear,107.4
O50012,2025-09-21,115.7,28.2,medium|fragile,low,clear,145.7
O50013,2025-06-27,51.7,11.2,medium|fragile,medium,clear,85.2
O50014,2025-12-03,127.4,10.1,large|fragile,medium,clear,123.8
O50015,2025-03-26,35.7,8.7,medium,low,clear,42.6
O50016,2025-10-24,17.0,12.3,large|fragile,medium,clear,51.5
O50017,2025-03-04,31.5,16.1,medium,medium,clear,74.8
O50018,2025-07-01,93.8,10.6,large,medium,clear,84.7
O50019,2026-08-18,134.0,15.7,small|fragile,medium,rain,154.5
O50020,2025-07-17,113.8,3.3,large|fragile,low,rain,120.9
O50021,2026-02-22,92.1,9.5,small|fragile,low,clear,94.9
O50022,2026-05-19,157.5,7.2,medium|fragile,medium,clear,130.0
O50023,2025-05-06,60.5,13.5,small,medium,snow,93.2
O50024,2026-03-05,42.3,8.8,medium|fragile,medium,clear,89.1
O50025,2025-05-10,150.5,23.9,small|fragile,high,clear,165.9
O50026,2026-08-06,123.6,30.0,large|fragile,medium,clear,127.4
O50027,2025-05-19,18.9,33.6,small,medium,rain,84.7
O50028,2025-03-07,122.8,11.8,medium,medium,clear,95.4
O50029,2025-11-18,65.2,13.3,medium|fragile,medium,clear,85.0
O50030,2025-06-09,178.8,4.2,medium,medium,clear,131.5
O50031,2025-01-05,53.6,8.2,small,high,clear,84.4
O50032,2026-05-21,48.9,10.4,medium,high,clear,78.4
O50033,2025-06-12,173.5,10.2,medium|fragile,medium,clear,144.9
O50034,2025-06-26,115.2,10.4,medium,low,rain,117.4
O50035,2026-06-18,129.4,19.5,medium,medium,clear,107.0
O50036,2026-07-17,40.1,10.6,medium|fragile,high,clear,104.9
O50037,2025-11-12,89.2,2.0,medium,high,clear,86.7
O50038,2026-04-28,125.6,17.2,large|fragile,medium,clear,143.0
O50039,2026-06-18,166.9,18.0,medium,medium,rain,133.4
O50040,2025-05-08,122.0,42.0,small,medium,clear,136.2
O50041,2025-09-03,178.3,16.4,medium,low,rain,157.4
