customer_id,age,gender,city,plan,tenure_months,monthly_fee,support_calls,late_payments,churn
1001,60,M,Seoul,Premium,36,61000,3,1,0
1002,26,M,Incheon,Basic,4,41000,3,1,0
1003,52,M,Busan,Premium,70,83000,3,3,0
1004,57,F,Seoul,Basic,55,73000,4,1,0
1005,,F,Seoul,Basic,49,42000,5,2,0
1006,58,F,Seoul,Premium,59,98000,1,3,0
1007,25,F,Daegu,Premium,25,120000,1,0,0
1008,62,M,Daegu,Basic,30,42000,6,2,0
1009,49,F,Busan,Standard,46,56000,4,5,0
1010,63,M,,Premium,32,50000,7,3,1
1011,37,M,Daegu,Basic,30,34000,5,3,1
1012,37,M,Busan,Premium,41,57000,7,3,1
1013,61,F,Busan,Standard,18,61000,8,4,1
1014,36,F,Incheon,Standard,29,,8,3,1
1015,25,M,Seoul,Basic,21,117000,6,4,1
1016,24,F,Incheon,Premium,60,97000,4,4,0
1017,20,M,Daegu,Premium,44,44000,4,3,0
1018,,F,Seoul,Premium,34,94000,2,4,0
1019,26,F,Busan,Basic,48,50000,8,4,1
1020,20,F,Incheon,Basic,15,76000,4,1,0
1021,23,M,Seoul,Basic,63,38000,8,1,0
1022,28,F,Busan,Standard,68,107000,6,1,1
1023,54,M,Daegu,Standard,48,86000,8,3,1
1024,27,M,Busan,Basic,44,32000,8,1,0
1025,57,M,Seoul,Basic,8,59000,1,0,0
1026,41,M,Busan,Standard,63,57000,8,1,0
1027,56,F,Busan,Standard,53,54000,1,0,0
1028,62,F,Daegu,Standard,53,89000,0,5,0
1029,61,M,,Standard,44,43000,3,1,0
1030,32,F,Busan,Standard,24,65000,7,1,0
1031,24,F,Seoul,Basic,70,31000,1,1,0
1032,,F,Incheon,Standard,28,81000,0,1,0
1033,44,M,Incheon,Standard,59,66000,6,5,1
1034,55,F,Busan,Basic,38,57000,0,4,0
1035,54,M,Daegu,Basic,7,104000,7,4,1
1036,53,M,Seoul,Premium,11,53000,1,4,0
1037,24,M,Incheon,Basic,32,,0,4,1
1038,25,F,Daegu,Standard,27,115000,5,1,1
1039,36,F,Busan,Premium,39,88000,5,0,0
1040,20,F,Seoul,Basic,69,57000,8,2,0
1041,28,F,Seoul,Basic,48,66000,2,3,0
1042,54,F,Seoul,Premium,71,68000,1,1,0
1043,36,M,Seoul,Premium,71,49000,4,2,0
1044,58,M,,Basic,34,94000,7,2,1
1045,23,M,Incheon,Standard,6,30000,5,1,1
1046,60,F,Busan,Premium,57,100000,6,4,1
1047,20,M,Seoul,Premium,20,99000,0,2,0
1048,57,M,Incheon,Basic,6,69000,5,0,1
1049,42,M,Busan,Premium,14,75000,8,3,1
1050,59,M,Busan,Basic,23,82000,0,1,0
1051,41,F,Busan,Standard,21,119000,1,3,1
1052,22,F,Busan,Basic,59,74000,4,1,0
1053,34,M,Busan,Standard,43,65000,1,2,0
1054,42,F,Daegu,Basic,15,63000,2,4,0
1055,36,M,Seoul,Premium,56,74000,5,3,1
1056,58,M,Incheon,Premium,25,62000,0,5,0
1057,,M,Busan,Standard,56,38000,5,4,1
1058,40,M,Daegu,Premium,40,115000,6,2,0
1059,45,F,Busan,Basic,54,115000,6,5,1
1060,31,F,Incheon,Premium,1,68000,4,1,0
1061,47,F,Incheon,Standard,57,116000,3,4,1
1062,50,M,Seoul,Standard,66,114000,5,0,1
1063,35,F,Busan,Basic,19,33000,0,1,0
1064,50,M,Incheon,Standard,25,119000,6,3,1
1065,45,M,Busan,Premium,1,43000,6,1,0
1066,31,F,Seoul,Premium,32,45000,7,1,0
1067,49,F,Incheon,Premium,65,84000,8,3,1
1068,30,F,Incheon,Standard,32,,4,4,1
1069,51,M,Daegu,Standard,10,66000,3,2,0
1070,41,F,Seoul,Basic,20,59000,6,5,1
1071,29,M,Seoul,Standard,53,72000,8,3,1
1072,46,M,Busan,Standard,50,104000,0,4,1
1073,44,F,Seoul,Standard,39,79000,6,4,1
1074,54,M,Incheon,Basic,35,85000,7,0,0
1075,44,F,Incheon,Premium,22,89000,2,4,0
1076,54,M,Incheon,Premium,4,40000,6,1,0
1077,49,M,Seoul,Standard,49,71000,3,3,0
1078,40,F,Incheon,Standard,54,62000,1,3,0
1079,21,M,Daegu,Basic,9,113000,0,0,0
1080,35,M,Seoul,Premium,20,60000,2,3,0
