customer_id,age,gender,city,monthly_fee,tenure_months,support_calls,plan,contract_type,usage_gb,churn
1,60,M,Busan,60000,32,3,Basic,TwoYear,16.8,0
2,25,F,Busan,28000,12,3,Basic,TwoYear,74.2,0
3,32,F,Seoul,82000,36,0,Basic,TwoYear,,0
4,29,M,Daegu,38000,12,6,Basic,OneYear,102.5,1
5,36,M,Incheon,93000,16,6,Basic,TwoYear,38.7,1
6,43,M,Busan,30000,30,4,Basic,Monthly,104.6,1
7,37,F,Daegu,45000,48,5,Basic,TwoYear,,0
8,58,M,Seoul,,60,6,Standard,TwoYear,84.1,0
9,63,F,Busan,54000,5,5,Standard,OneYear,12.6,1
10,65,F,Seoul,108000,64,6,Premium,OneYear,21.4,0
11,35,F,Incheon,99000,52,5,Basic,Monthly,63.6,1
12,68,M,Busan,44000,21,6,,Monthly,49.2,1
13,,F,Busan,39000,69,4,Premium,OneYear,17.8,0
14,30,F,Busan,58000,65,2,Premium,Monthly,105.1,0
15,60,M,Seoul,72000,21,8,Premium,Monthly,73.9,1
16,21,M,,64000,31,0,Basic,TwoYear,113.9,0
17,66,F,Busan,93000,17,2,Premium,OneYear,113.9,0
18,36,F,Seoul,94000,26,4,Standard,TwoYear,79.7,0
19,53,F,Busan,56000,29,1,Standard,Monthly,72.7,0
20,57,M,Busan,34000,8,3,Basic,Monthly,103.9,1
21,52,M,Daegu,110000,63,3,Premium,Monthly,88.2,1
22,56,F,Seoul,85000,53,3,Basic,Monthly,80.8,1
23,47,F,Incheon,31000,13,0,Standard,TwoYear,44.0,0
24,35,M,Seoul,93000,58,2,Standard,Monthly,37.0,0
25,24,F,,31000,70,0,Basic,Monthly,24.1,0
26,50,M,Incheon,32000,22,6,Basic,OneYear,35.5,0
27,38,F,Incheon,44000,25,4,Basic,Monthly,71.6,1
28,23,F,Busan,31000,62,8,,Monthly,11.5,1
29,25,M,Busan,101000,9,3,Standard,Monthly,113.3,1
30,35,M,Busan,78000,67,5,Standard,Monthly,82.0,1
31,,F,Incheon,41000,39,7,Standard,Monthly,6.1,1
32,56,M,Busan,93000,28,8,Standard,Monthly,,1
33,35,F,Daegu,45000,57,8,Premium,OneYear,75.3,0
34,20,F,Busan,42000,34,1,Basic,TwoYear,68.6,0
35,38,M,Daegu,51000,34,8,Standard,OneYear,109.1,0
36,25,F,Daegu,30000,1,5,Basic,TwoYear,117.7,1
37,67,F,Incheon,96000,2,1,Basic,TwoYear,109.0,1
38,22,F,Seoul,,17,0,Standard,OneYear,108.4,0
39,42,M,Seoul,110000,14,5,Premium,OneYear,117.0,1
40,35,M,Seoul,77000,4,2,Premium,OneYear,95.0,0
41,62,M,Daegu,45000,14,6,Basic,OneYear,30.6,0
42,42,F,Seoul,53000,4,3,Standard,OneYear,37.0,0
43,69,F,Daegu,107000,66,6,Premium,TwoYear,,0
44,27,F,Seoul,99000,34,0,Basic,TwoYear,55.0,0
45,47,M,Incheon,98000,25,4,Basic,TwoYear,55.1,0
46,54,M,Daegu,80000,9,5,Premium,OneYear,81.3,1
47,,F,Daegu,110000,53,5,Standard,TwoYear,39.0,0
48,,F,Incheon,47000,39,6,Premium,Monthly,39.9,1
49,47,F,Incheon,81000,57,3,Premium,OneYear,96.3,0
50,62,M,Daegu,,43,1,Basic,TwoYear,40.7,0
51,29,M,Busan,56000,61,1,Standard,OneYear,106.9,0
52,32,F,Incheon,76000,32,2,Premium,TwoYear,5.6,0
53,69,F,Seoul,47000,67,7,Basic,TwoYear,33.7,0
54,49,M,Incheon,110000,68,8,Premium,OneYear,114.3,0
55,59,F,Incheon,,61,7,Standard,Monthly,101.6,1
56,69,F,Seoul,60000,57,1,Premium,OneYear,32.0,0
57,,M,Seoul,44000,30,6,Premium,Monthly,86.2,1
58,46,F,Daegu,94000,60,6,Basic,Monthly,100.8,1
59,69,M,,86000,1,5,Standard,OneYear,103.1,1
60,54,M,Incheon,53000,35,6,Standard,Monthly,49.7,1
61,66,M,Incheon,41000,69,0,Standard,TwoYear,69.9,0
62,25,F,Seoul,84000,24,0,Standard,OneYear,42.6,0
63,40,F,Incheon,60000,54,4,Basic,OneYear,7.2,0
64,23,F,Seoul,108000,9,0,Basic,Monthly,27.9,1
65,59,M,Seoul,41000,61,1,Premium,Monthly,58.5,0
66,69,F,Seoul,102000,15,2,Standard,Monthly,71.5,1
67,56,F,Incheon,50000,10,3,Basic,TwoYear,93.8,0
68,27,M,Daegu,93000,55,5,Basic,TwoYear,79.5,0
69,46,F,Busan,80000,47,7,Premium,Monthly,55.1,1
70,61,F,Incheon,84000,56,4,Standard,Monthly,100.5,0
71,37,F,Seoul,84000,49,5,Basic,OneYear,102.9,1
72,51,M,Daegu,58000,44,4,Premium,TwoYear,106.2,0
73,20,M,Busan,55000,53,7,Premium,Monthly,84.4,1
74,48,M,Busan,62000,29,6,Premium,Monthly,40.2,1
75,43,F,Daegu,,71,5,Standard,TwoYear,57.2,0
76,36,M,Busan,49000,41,1,Premium,TwoYear,114.4,0
77,32,M,Incheon,60000,68,4,Basic,Monthly,,0
78,31,F,Busan,93000,17,4,Basic,Monthly,68.6,1
79,60,F,Busan,26000,37,7,Standard,OneYear,44.2,0
80,36,F,Busan,33000,52,7,Basic,TwoYear,77.4,0
81,29,M,Daegu,35000,32,1,Premium,OneYear,74.7,0
82,34,F,Incheon,81000,39,6,,TwoYear,76.4,1
83,67,M,Seoul,105000,28,4,,Monthly,23.1,1
84,55,M,Seoul,25000,53,7,Premium,TwoYear,59.0,0
85,34,F,Daegu,83000,10,3,,TwoYear,72.8,0
86,47,M,Seoul,107000,20,4,Basic,Monthly,11.9,1
87,58,F,Incheon,40000,60,4,Premium,OneYear,113.4,0
88,,F,Incheon,35000,6,6,Premium,OneYear,74.4,0
89,25,M,Busan,,6,2,Standard,TwoYear,79.9,0
90,31,F,Incheon,36000,61,5,Standard,OneYear,41.9,0
91,30,F,Incheon,88000,37,6,Premium,Monthly,57.3,1
92,36,F,Busan,76000,66,0,Premium,TwoYear,58.1,0
93,32,F,Incheon,105000,57,0,Basic,OneYear,68.2,0
94,48,F,Busan,28000,31,2,Standard,TwoYear,6.6,0
