customer_id,age,gender,city,tenure_months,monthly_fee,contract_type,support_calls,late_payments,usage_hours,churn
C1001,23.0,M,Daegu,47,36.85,Monthly,2,0,64.7,0
C1002,59.0,M,Busan,61,70.96,Monthly,2,0,95.5,0
C1003,53.0,M,Daegu,61,60.97,Monthly,6,0,95.4,1
C1004,41.0,F,Daegu,62,101.26,Monthly,0,1,91.6,0
C1005,41.0,M,Incheon,46,64.86,Monthly,3,1,72.3,0
C1006,63.0,M,Seoul,41,98.02,TwoYear,1,1,43.0,0
C1007,23.0,M,Busan,47,48.13,OneYear,5,1,98.2,1
C1008,55.0,F,Seoul,30,78.57,Monthly,3,1,68.1,0
C1009,29.0,M,Busan,49,73.75,Monthly,3,1,98.0,0
C1010,23.0,F,Seoul,58,52.36,Monthly,1,1,67.2,0
C1011,46.0,F,Busan,55,71.19,Monthly,0,2,56.5,0
C1012,69.0,M,Busan,45,89.83,OneYear,0,2,103.2,0
C1013,57.0,F,Busan,5,62.17,TwoYear,0,0,100.3,0
C1014,58.0,M,Busan,53,37.54,TwoYear,2,0,115.3,0
C1015,56.0,F,Daegu,27,67.68,TwoYear,2,0,171.5,1
C1016,59.0,F,Daegu,54,51.76,TwoYear,2,3,104.7,0
C1017,45.0,F,Busan,39,61.84,TwoYear,2,3,112.0,0
C1018,25.0,M,Busan,64,66.53,Monthly,2,2,57.3,0
C1019,62.0,F,Incheon,25,37.3,Monthly,4,4,50.0,1
C1020,42.0,F,Seoul,68,38.92,Monthly,1,0,150.4,1
C1021,45.0,F,Seoul,61,76.68,OneYear,1,0,62.7,0
C1022,38.0,F,Seoul,24,58.59,Monthly,0,1,58.5,0
C1023,28.0,M,Busan,35,21.83,TwoYear,1,1,93.6,0
C1024,67.0,M,Busan,39,82.13,OneYear,3,1,91.8,0
C1025,59.0,M,Daegu,56,72.9,Monthly,3,0,63.4,0
C1026,52.0,F,Busan,50,55.15,Monthly,3,0,84.3,0
C1027,,M,Seoul,62,44.3,Monthly,3,0,138.0,1
C1028,61.0,M,Incheon,27,83.04,Monthly,3,0,66.8,1
C1029,47.0,F,Daegu,37,74.29,TwoYear,0,2,46.2,0
C1030,42.0,F,Seoul,32,110.89,OneYear,2,2,128.0,0
C1031,42.0,M,Seoul,66,75.56,OneYear,4,0,112.2,0
C1032,30.0,F,Seoul,22,74.98,Monthly,2,0,73.3,1
C1033,23.0,M,Seoul,43,65.0,Monthly,2,1,39.6,0
C1034,47.0,F,Seoul,9,82.7,Monthly,0,0,68.9,1
C1035,65.0,M,Incheon,62,79.25,OneYear,3,0,93.1,0
C1036,22.0,F,Busan,28,90.53,OneYear,4,1,135.8,0
C1037,63.0,F,Seoul,25,58.62,Monthly,2,1,58.7,0
C1038,62.0,F,Daegu,42,,TwoYear,2,1,92.0,0
C1039,,M,Busan,36,59.38,Monthly,1,1,118.6,0
C1040,51.0,F,Incheon,62,82.23,TwoYear,1,2,11.7,1
C1041,27.0,M,Daegu,39,94.97,Monthly,2,0,131.2,0
C1042,58.0,M,Busan,38,59.74,Monthly,0,2,53.6,0
C1043,,F,Seoul,8,60.35,TwoYear,1,0,106.6,0
C1044,37.0,M,Incheon,2,73.65,Monthly,3,2,103.6,0
C1045,22.0,F,Daegu,29,63.58,Monthly,0,2,133.0,0
C1046,69.0,F,Incheon,72,85.14,Monthly,0,1,114.3,0
C1047,42.0,M,Seoul,67,27.47,Monthly,1,0,11.8,0
C1048,65.0,F,Incheon,46,53.12,OneYear,1,0,67.5,1
C1049,54.0,M,Busan,46,53.92,TwoYear,4,0,99.8,0
C1050,59.0,F,Seoul,29,,TwoYear,3,1,88.2,0
C1051,58.0,M,Busan,13,50.65,Monthly,3,1,111.7,0
C1052,29.0,F,Busan,1,51.53,Monthly,3,3,122.6,1
C1053,37.0,M,Seoul,25,64.38,Monthly,1,0,116.3,1
C1054,43.0,M,Busan,23,88.03,Monthly,1,1,87.5,0
C1055,44.0,M,Daegu,14,63.59,Monthly,0,0,30.4,0
C1056,21.0,F,Seoul,19,49.45,TwoYear,3,0,79.1,0
C1057,47.0,F,Busan,2,66.97,TwoYear,4,0,109.6,0
C1058,27.0,F,Busan,44,86.89,OneYear,2,1,56.8,0
C1059,57.0,F,Seoul,67,50.43,Monthly,3,0,117.1,0
C1060,54.0,F,Incheon,50,51.61,Monthly,2,2,126.8,0
C1061,66.0,F,Daegu,33,78.05,Monthly,2,1,99.4,0
C1062,57.0,M,Seoul,31,64.01,Monthly,2,2,5.0,1
C1063,38.0,F,Incheon,23,79.65,Monthly,4,4,50.3,1
C1064,69.0,F,Incheon,11,67.75,Monthly,0,0,161.0,0
C1065,40.0,M,Seoul,44,80.63,Monthly,4,2,75.9,0
C1066,,M,Daegu,41,49.37,TwoYear,0,1,25.6,0
C1067,66.0,F,Seoul,1,67.78,Monthly,2,0,138.2,0
C1068,38.0,M,Incheon,30,,TwoYear,4,1,95.5,0
C1069,22.0,F,Busan,21,46.11,Monthly,3,2,133.7,1
C1070,43.0,M,Busan,13,39.86,OneYear,2,1,104.7,0
C1071,60.0,M,Seoul,51,80.34,Monthly,6,2,111.0,1
C1072,28.0,F,Incheon,38,61.68,Monthly,3,0,107.7,0
C1073,43.0,M,Seoul,46,49.6,Monthly,5,0,119.4,0
C1074,25.0,M,Seoul,52,66.27,Monthly,2,2,174.7,1
C1075,54.0,F,Seoul,71,88.3,TwoYear,3,0,129.0,0
C1076,43.0,F,Daegu,58,26.95,Monthly,1,1,39.7,0
C1077,36.0,M,Seoul,45,,OneYear,3,1,110.6,0
C1078,30.0,M,Incheon,64,51.39,Monthly,3,2,135.0,0
C1079,48.0,F,Busan,35,94.3,Monthly,2,2,137.1,0
C1080,53.0,F,Seoul,71,73.09,Monthly,1,0,80.1,0
C1081,67.0,F,Seoul,55,81.81,Monthly,1,1,135.8,1
C1082,41.0,M,Seoul,47,47.48,TwoYear,4,0,127.5,0
C1083,27.0,M,Busan,66,47.85,OneYear,4,1,185.0,0
C1084,62.0,M,Daegu,38,76.06,OneYear,0,0,68.7,0
C1085,51.0,M,Seoul,52,69.05,Monthly,3,0,77.2,1
C1086,55.0,F,Daegu,21,77.88,Monthly,3,3,84.3,1
C1087,24.0,M,Seoul,70,64.62,TwoYear,2,2,77.8,0
C1088,35.0,F,Daegu,45,73.01,Monthly,0,2,63.8,0
C1089,58.0,F,Incheon,57,70.85,Monthly,2,0,5.0,0
C1090,62.0,F,Daegu,34,82.0,Monthly,3,1,79.8,0
C1091,41.0,M,Busan,63,82.53,OneYear,0,0,107.9,0
C1092,60.0,F,Daegu,6,38.84,OneYear,2,0,77.7,0
C1093,62.0,F,Seoul,9,27.55,OneYear,2,1,162.7,0
C1094,39.0,F,Seoul,37,86.03,OneYear,6,1,95.5,0
C1095,65.0,M,Seoul,53,89.38,Monthly,6,0,140.2,1
C1096,,M,Busan,59,49.63,TwoYear,2,1,104.1,0
