customer_id,age,monthly_fee,tenure_months,support_calls,data_usage_gb,gender,city,plan,contract_type,churn
C0001,59,77.1,8,3,23.1,M,Busan,Standard,One-year,0
C0002,20,80.1,6,1,24.1,M,Busan,Standard,One-year,0
C0003,47,47.8,38,1,39.9,M,Incheon,Basic,Month-to-month,1
C0004,25,61.9,23,1,29.0,M,Incheon,Standard,Two-year,0
C0005,54,73.5,19,2,11.0,F,Busan,Standard,Month-to-month,1
C0006,33,48.2,56,3,27.8,F,Busan,Basic,Month-to-month,0
C0007,62,85.3,42,3,27.5,M,Busan,Standard,Month-to-month,1
C0008,39,,54,0,22.4,M,Daegu,Basic,Month-to-month,0
C0009,55,113.5,57,1,15.9,F,Incheon,Premium,One-year,0
C0010,53,34.1,17,2,21.8,F,Daegu,Basic,Two-year,0
C0011,24,65.2,49,2,23.3,M,Incheon,Standard,Month-to-month,0
C0012,54,66.5,56,1,34.7,M,Daegu,Standard,Month-to-month,0
C0013,29,65.4,30,4,22.3,F,Busan,Standard,Month-to-month,0
C0014,31,72.4,10,0,18.2,M,Daegu,Standard,Month-to-month,0
C0015,72,80.6,52,1,24.9,M,Seoul,Standard,One-year,0
C0016,61,109.2,31,1,27.1,F,Busan,Premium,One-year,0
C0017,64,109.0,20,0,30.0,F,Incheon,Premium,Month-to-month,1
C0018,54,42.1,15,2,21.1,M,Busan,Basic,Month-to-month,0
C0019,51,37.8,16,1,32.2,M,Incheon,Basic,Month-to-month,0
C0020,41,51.1,28,2,6.8,M,Seoul,Basic,One-year,0
C0021,25,44.8,16,2,32.4,M,Incheon,Basic,Month-to-month,0
C0022,54,120.3,7,1,54.5,M,Seoul,Premium,One-year,1
C0023,50,41.3,31,2,30.9,M,Busan,Basic,Two-year,0
C0024,46,39.2,45,4,50.5,F,Busan,Basic,Month-to-month,1
C0025,66,85.6,35,3,24.9,M,Incheon,Standard,Two-year,1
C0026,30,41.3,5,5,10.8,M,Incheon,Basic,Two-year,1
C0027,57,39.6,3,0,15.6,F,Daegu,Basic,One-year,0
C0028,38,86.6,30,3,15.9,M,Seoul,Standard,Two-year,0
C0029,23,120.9,35,2,28.9,F,Seoul,Premium,Month-to-month,0
C0030,58,115.4,52,4,21.4,F,Seoul,Premium,Month-to-month,1
C0031,25,38.2,48,0,19.6,M,Daegu,Basic,One-year,0
