customer_id,age,city,plan,contract,payment_method,tenure_months,monthly_fee,usage_hours,support_calls,late_payments,churn
C0001,59,Seoul,Standard,Monthly,Card,14,55.3,9.9,0,1,1
C0002,32,Seoul,Standard,Monthly,Mobile,70,46.5,51.0,0,3,0
C0003,29,Daegu,Basic,Monthly,Bank,14,34.5,46.2,2,0,0
C0004,65,Busan,Basic,Yearly,Card,71,34.0,65.1,1,0,0
C0005,23,Seoul,Basic,Monthly,Card,30,16.3,29.6,3,1,1
C0006,41,Seoul,Basic,Yearly,Mobile,10,28.5,35.4,1,0,0
C0007,59,Daegu,Basic,Monthly,Card,30,26.9,14.3,3,1,0
C0008,55,Daejeon,Basic,Monthly,Bank,59,28.7,49.3,2,0,0
C0009,46,Gwangju,Basic,Monthly,Card,66,31.6,43.2,0,0,1
C0010,62,Busan,Basic,Monthly,Bank,68,38.9,63.6,2,0,1
C0011,53,Daejeon,Standard,Monthly,Bank,56,47.1,43.1,2,0,0
C0012,67,Seoul,Premium,Yearly,Bank,65,79.7,35.8,1,0,0
C0013,52,Gwangju,Standard,Monthly,Card,47,48.1,19.8,4,1,0
C0014,24,Seoul,Standard,Monthly,Mobile,17,43.8,55.9,3,0,0
C0015,46,Gwangju,Premium,Yearly,Mobile,26,75.8,25.3,1,0,0
C0016,47,Seoul,Basic,Monthly,Mobile,71,37.9,53.9,2,1,1
C0017,21,Daejeon,Basic,Monthly,Mobile,63,37.4,50.8,2,0,0
C0018,69,Busan,Basic,Monthly,Mobile,56,30.5,55.9,1,0,0
C0019,,Seoul,Basic,Monthly,Card,32,31.8,61.7,2,1,0
C0020,23,Busan,Premium,Monthly,Card,70,91.2,3.6,4,0,1
C0021,50,Busan,Premium,Yearly,Card,49,90.0,42.2,3,0,0
C0022,63,Gwangju,Premium,Monthly,Mobile,63,88.0,53.8,3,0,0
C0023,66,Seoul,Basic,Monthly,Mobile,21,30.6,49.1,4,0,1
C0024,34,Busan,Premium,Monthly,Mobile,6,71.6,29.9,0,0,0
C0025,32,Daegu,Basic,Monthly,Card,39,29.9,52.4,0,1,0
C0026,55,Gwangju,Basic,Monthly,Bank,17,33.9,27.7,5,0,1
C0027,72,Busan,Basic,Yearly,Mobile,68,25.8,43.5,5,3,0
C0028,27,Seoul,Premium,Yearly,Card,35,73.1,53.5,1,2,0
C0029,51,Busan,Premium,Yearly,Card,55,77.1,37.5,2,1,0
C0030,29,Daegu,Standard,Monthly,Card,15,56.2,58.0,5,0,0
C0031,56,Busan,Standard,Monthly,Bank,6,49.0,35.1,3,1,0
C0032,45,Gwangju,Standard,Yearly,Card,21,50.2,37.4,5,0,0
C0033,40,Daejeon,Basic,Monthly,Mobile,32,40.0,71.7,1,2,0
C0034,33,Seoul,Premium,Monthly,Card,29,72.4,43.6,3,3,0
C0035,36,Seoul,Standard,Monthly,Mobile,43,53.3,38.9,2,0,0
C0036,35,Seoul,Standard,Monthly,Bank,56,42.1,29.4,0,2,0
C0037,64,Busan,Standard,Yearly,Mobile,26,45.8,46.9,1,0,0
C0038,26,Daegu,Basic,Monthly,Bank,42,34.1,50.2,1,2,0
C0039,62,Daegu,Basic,Monthly,Bank,71,32.0,29.5,2,3,0
C0040,39,Busan,Standard,Monthly,Bank,22,44.0,30.3,1,0,1
C0041,67,Seoul,Basic,Yearly,Card,4,19.8,56.0,6,0,0
C0042,59,Busan,Standard,Monthly,Bank,32,59.9,62.7,3,0,0
C0043,68,Busan,Basic,Yearly,Mobile,60,33.5,46.0,3,0,0
C0044,61,Busan,Standard,Monthly,Bank,65,45.1,58.5,0,1,0
C0045,47,Seoul,Basic,Monthly,Mobile,63,34.1,32.3,1,1,0
C0046,39,Gwangju,Basic,Monthly,Bank,20,21.7,,2,2,0
C0047,32,Daejeon,Basic,Yearly,Mobile,3,28.4,19.3,3,1,0
C0048,67,Busan,Premium,Yearly,Mobile,70,73.4,7.5,3,1,0
C0049,43,Seoul,Standard,Monthly,Card,60,34.1,18.9,6,0,0
C0050,61,Seoul,Standard,Monthly,Bank,24,,47.2,3,2,0
C0051,43,Seoul,Premium,Monthly,Card,61,85.5,44.6,4,1,0
C0052,68,Gwangju,Basic,Monthly,Card,26,29.6,21.9,3,2,1
C0053,32,Busan,Basic,Monthly,Mobile,15,25.6,32.0,2,2,0
C0054,55,Daegu,Premium,Monthly,Mobile,26,76.7,54.0,4,0,0
C0055,62,Daegu,Basic,Yearly,Card,45,38.2,36.9,0,1,1
C0056,45,Daejeon,Basic,Yearly,Mobile,59,27.2,24.5,1,0,0
C0057,70,Gwangju,Standard,Monthly,Mobile,35,54.2,53.5,1,0,0
C0058,67,Busan,Standard,Monthly,Card,64,52.0,33.3,2,3,0
C0059,57,Daegu,Basic,Monthly,Card,11,24.1,59.3,2,0,0
C0060,64,Busan,Standard,Monthly,Card,52,42.1,28.4,1,0,0
C0061,46,Gwangju,Standard,Monthly,Bank,35,47.9,53.5,1,0,0
C0062,67,Daegu,Basic,Yearly,Bank,68,31.9,14.7,0,0,0
C0063,38,Seoul,Standard,Monthly,Card,71,41.4,81.4,1,0,1
C0064,19,Busan,Standard,Monthly,Card,7,50.9,75.8,2,1,0
C0065,55,Daegu,Basic,Monthly,Mobile,39,22.2,48.5,3,0,0
C0066,58,Seoul,Standard,Monthly,Bank,39,,2.3,5,2,0
C0067,66,Seoul,Standard,Monthly,Bank,11,49.5,50.8,2,1,0
C0068,57,Busan,Basic,Monthly,Bank,59,27.9,47.4,3,3,0
C0069,70,Gwangju,Standard,Monthly,Mobile,20,52.8,24.7,4,1,0
C0070,66,Daejeon,Premium,Monthly,Bank,39,70.8,3.4,0,1,1
C0071,21,Gwangju,Standard,Monthly,Card,12,55.0,67.2,2,0,1
C0072,67,Daegu,Basic,Monthly,Card,61,24.8,39.8,0,5,0
C0073,71,Busan,Basic,Monthly,Bank,42,23.8,12.6,0,2,1
C0074,44,Daejeon,Standard,Monthly,Bank,33,42.1,82.4,0,2,0
C0075,61,Daejeon,Standard,Monthly,Mobile,47,46.9,28.1,0,1,0
C0076,27,Gwangju,Standard,Yearly,Card,4,49.3,38.1,4,1,0
C0077,54,Busan,Basic,Yearly,Card,60,38.2,34.0,4,3,0
C0078,64,Seoul,Premium,Yearly,Card,59,86.4,36.7,0,0,0
C0079,23,Seoul,Standard,Monthly,Mobile,35,46.2,29.5,2,2,0
C0080,50,Daejeon,Standard,Monthly,Bank,71,61.9,25.5,2,0,0
C0081,34,Busan,Basic,Yearly,Card,41,31.6,15.4,2,0,0
C0082,71,Daegu,Basic,Yearly,Card,65,39.9,38.7,3,2,1
C0083,48,Seoul,Basic,Yearly,Card,10,23.3,50.5,0,2,0
C0084,40,Daejeon,Premium,Monthly,Bank,63,88.0,38.7,2,1,0
C0085,33,Daegu,Standard,Monthly,Mobile,13,50.8,51.1,0,0,0
C0086,37,Seoul,Standard,Monthly,Bank,24,55.7,48.0,2,0,0
C0087,56,Seoul,Standard,Monthly,Bank,2,46.9,30.7,3,2,1
C0088,41,,Basic,Yearly,Mobile,33,42.7,45.9,0,1,0
C0089,43,Busan,Standard,Yearly,Bank,3,47.6,38.6,4,2,0
C0090,66,Gwangju,Premium,Yearly,Bank,30,72.6,32.1,0,0,0
C0091,65,Daejeon,Standard,Monthly,Card,6,39.0,59.1,1,0,1
C0092,37,Seoul,Basic,Monthly,Mobile,47,31.6,34.8,0,0,0
C0093,49,,Basic,Yearly,Card,60,42.6,39.8,3,0,0
C0094,44,Gwangju,Premium,Monthly,Bank,2,,50.7,2,2,1
C0095,43,Daejeon,Premium,Monthly,Card,61,64.6,47.5,5,0,1
C0096,23,Daegu,Standard,Yearly,Mobile,53,71.6,45.5,2,2,1
C0097,34,Gwangju,Basic,Monthly,Mobile,70,33.1,55.6,0,2,1
C0098,,Daegu,Premium,Monthly,Mobile,48,79.6,60.1,2,2,0
C0099,42,Busan,Premium,Monthly,Bank,36,83.5,50.1,2,0,0
C0100,60,Daegu,Premium,Monthly,Bank,32,82.7,39.9,5,3,0
C0101,56,Seoul,Premium,Monthly,Card,1,87.7,90.2,1,0,0
C0102,26,Daegu,Basic,Monthly,Card,42,34.1,43.3,3,2,1
C0103,23,Busan,Standard,Monthly,Card,58,60.8,41.0,0,1,0
C0104,52,Seoul,Standard,Monthly,Bank,52,47.2,45.6,1,0,0
C0105,39,Daegu,Basic,Monthly,Mobile,71,24.2,25.8,1,0,0
C0106,46,Seoul,Standard,Yearly,Mobile,71,44.2,30.4,1,1,0
C0107,48,Busan,Standard,Monthly,Bank,33,51.3,48.9,1,0,0
C0108,24,Busan,Standard,Monthly,Card,72,39.3,57.7,6,0,0
C0109,61,Gwangju,Standard,Yearly,Card,37,44.7,32.7,0,0,0
C0110,33,Daejeon,Basic,Monthly,Card,36,39.7,28.2,0,0,0
C0111,58,Daegu,Standard,Monthly,Mobile,35,50.2,44.5,3,0,0
C0112,30,Daejeon,Standard,Monthly,Card,4,43.5,53.4,3,2,1
C0113,38,Daegu,Standard,Monthly,Card,7,51.7,65.6,3,1,0
C0114,,Busan,Standard,Monthly,Mobile,15,44.9,,1,0,0
C0115,38,Seoul,Basic,Monthly,Card,27,32.5,,1,1,0
C0116,19,Busan,Standard,Monthly,Mobile,30,49.9,41.9,0,0,0
C0117,21,Busan,Standard,Monthly,Bank,55,46.0,30.1,0,1,1
C0118,39,Seoul,Premium,Monthly,Mobile,47,79.4,59.2,4,2,0
C0119,44,Daejeon,Standard,Monthly,Card,10,33.8,41.4,1,0,0
C0120,65,Gwangju,Standard,Monthly,Card,19,55.8,52.5,2,3,1
C0121,68,Daegu,Standard,Monthly,Mobile,58,36.2,10.1,0,0,0
