customer_id,age,gender,monthly_fee,usage_time,contract_type,support_count,churn
C10001,45.0,Male,64900.0,140.7,One-year,3.0,0
C10002,29.0,Female,101700.0,20.4,Two-year,3.0,0
C10003,50.0,Male,90200.0,94.6,Monthly,2.0,0
C10004,52.0,Female,62400.0,107.3,Monthly,1.0,0
C10005,18.0,Female,84500.0,81.5,One-year,3.0,0
C10006,25.0,Female,110500.0,11.7,Monthly,1.0,1
C10007,43.0,Female,111100.0,80.3,One-year,1.0,1
C10008,37.0,Male,41000.0,80.3,Monthly,2.0,0
C10009,41.0,Male,47600.0,88.3,Monthly,2.0,1
C10010,31.0,Male,100700.0,69.6,One-year,1.0,0
C10011,52.0,Male,44700.0,75.1,One-year,2.0,0
C10012,50.0,Female,,93.2,One-year,5.0,1
C10013,42.0,Female,57300.0,114.9,One-year,2.0,0
C10014,55.0,Female,77200.0,81.3,One-year,1.0,0
C10015,47.0,Female,65700.0,76.6,One-year,3.0,0
C10016,31.0,Female,53700.0,99.2,One-year,1.0,0
C10017,45.0,Female,53200.0,8.6,One-year,6.0,1
C10018,29.0,Male,52300.0,116.5,One-year,0.0,0
C10019,52.0,Male,48700.0,95.0,Monthly,0.0,0
C10020,40.0,Female,118200.0,96.8,Monthly,1.0,1
C10021,39.0,Female,74500.0,138.2,One-year,0.0,0
C10022,33.0,Male,87500.0,7.1,Two-year,2.0,0
C10023,,Female,57200.0,6.2,One-year,3.0,0
C10024,39.0,Female,63900.0,107.3,Monthly,1.0,0
C10025,36.0,Male,52300.0,94.7,One-year,2.0,0
C10026,37.0,Male,18000.0,102.7,Monthly,3.0,0
C10027,47.0,Female,37700.0,,One-year,0.0,0
C10028,45.0,Female,28200.0,124.9,Two-year,1.0,0
C10029,46.0,Male,18500.0,137.0,One-year,1.0,0
C10030,46.0,Female,41700.0,116.8,One-year,1.0,0
C10031,67.0,Male,97100.0,83.3,Monthly,1.0,1
C10032,36.0,Female,67000.0,3.0,Monthly,1.0,1
C10033,35.0,Male,96400.0,129.6,Two-year,0.0,0
C10034,31.0,Female,77000.0,150.0,One-year,4.0,0
C10035,48.0,Male,85200.0,124.0,Monthly,0.0,0
C10036,55.0,Male,48200.0,55.4,Monthly,3.0,1
C10037,40.0,Female,79500.0,125.3,Monthly,2.0,1
C10038,31.0,Male,84000.0,133.7,Monthly,0.0,0
C10039,31.0,Male,55300.0,165.1,Monthly,1.0,0
C10040,49.0,Male,80300.0,55.6,Monthly,5.0,1
C10041,50.0,Female,80500.0,84.8,Two-year,0.0,0
C10042,,Female,55900.0,128.6,Monthly,2.0,1
C10043,33.0,Female,43300.0,97.6,Monthly,1.0,0
C10044,44.0,Male,41900.0,44.7,Monthly,0.0,0
C10045,42.0,Male,69900.0,113.7,Monthly,0.0,0
C10046,44.0,Male,75200.0,121.0,One-year,4.0,0
C10047,51.0,Female,50600.0,99.0,Monthly,3.0,1
C10048,44.0,Female,68600.0,104.9,One-year,1.0,0
C10049,49.0,Female,80600.0,83.4,One-year,6.0,1
C10050,42.0,Female,81600.0,161.5,Monthly,2.0,0
C10051,44.0,Male,102100.0,54.5,One-year,2.0,0
C10052,49.0,Female,96100.0,68.6,Two-year,1.0,0
C10053,24.0,Female,46000.0,95.5,Monthly,0.0,0
C10054,37.0,Male,105000.0,134.6,Monthly,0.0,1
C10055,35.0,Male,,27.6,Two-year,2.0,0
C10056,33.0,Male,91000.0,36.0,Two-year,1.0,0
C10057,38.0,Male,69500.0,3.3,One-year,0.0,0
C10058,59.0,Male,58900.0,96.5,One-year,3.0,0
C10059,31.0,Male,28200.0,44.7,Monthly,1.0,0
C10060,53.0,Female,64200.0,77.7,One-year,0.0,0
C10061,21.0,Male,33700.0,124.8,Monthly,6.0,1
C10062,,Male,89300.0,66.1,Monthly,0.0,0
C10063,43.0,Female,101400.0,105.4,One-year,0.0,0
C10064,48.0,Female,50500.0,81.5,Two-year,0.0,0
